time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
2.272,10.54,0,1933.94,180,-14,0,0,73
2.282,-0.87,0,2160.17,180,0,0,0,0
2.284,-2.1,0,-1.75,180,-41,0,-6.0,419
2.291,-2.2800000000000002,0,-2.1,180,-36,0,6.0,4
2.293,-4.57,0,-4.21,180,-52,0,-0.5137191,153
2.299,-5.09,0,-4.74,180,-52,0,-5.309972,159
2.301,-7.38,0,-7.03,180,-51,0,-1.5020857,5
2.308,-8.26,0,-8.08,180,-69,0,-5.721515,134
2.31,-10.54,0,-10.19,180,-57,0,4.905448,27
2.316,-11.07,0,-10.89,180,-63,0,-5.2990665,143
2.319,-13.18,0,-12.83,180,-52,0,-5.3979716,132
2.324,-14.06,0,-13.71,180,-55,0,-4.778702,134
2.327,-15.99,0,-15.46,180,-55,0,-4.6790752,136
2.334,-16.69,0,-16.34,180,-55,0,1.3673887,128
2.336,-19.16,0,-18.45,180,-59,0,-5.3082495,115
2.342,-19.86,0,-18.98,180,-64,0,-4.889503,37
2.346,-22.14,0,-21.09,180,-60,0,5.6422005,134
2.35,-23.73,0,-22.5,180,-64,0,-5.757012,120
2.354,-25.13,0,-23.55,180,-66,0,-5.3122153,152
2.358,-26.71,0,-24.96,180,-75,0,-1.3946276,144
2.363,-28.3,0,-26.19,180,-54,0,-0.9471464,133
2.367,-29.88,0,-27.42,180,-63,0,0.9782882,26
2.372,-31.64,0,-28.65,180,-61,0,-4.2321734,14
2.375,-33.22,0,-29.7,180,-55,0,-5.8328395,28
2.381,-34.45,0,-30.58,180,-69,0,4.724965,103
2.383,-36.73,0,-31.99,180,-62,0,5.9768324,149
2.391,-37.08,0,-32.16,180,-56,0,5.645917,123
2.393,-39.55,0,-33.22,180,-47,0,5.971449,161
2.401,-39.9,0,-33.57,180,-46,0,4.379038,153
2.403,-41.83,0,-34.1,180,-32,0,5.73654,159
2.41,-42.01,0,-33.92,180,-32,0,-0.68323994,116
2.411,-42.89,0,-33.39,180,-24,0,4.969364,151
2.419,-43.24,0,-33.22,180,-20,0,4.536606,8
2.421,-43.76,0,-32.16,180,-14,0,2.2506638,129
2.428,-43.76,0,-31.99,180,-12,0,5.6463346,117
2.429,-43.76,0,-30.23,180,-7,0,1.2616968,50
2.437,-43.76,0,-29.88,180,-6,0,5.8270082,144
2.438,-43.41,0,-27.59,180,4,0,3.2696705,26
2.446,-43.24,0,-27.07,180,4,0,5.8728695,147
2.447,-42.53,0,-23.9,180,17,0,5.815155,77
2.453,-42.18,0,-23.2,180,17,0,5.938448,149
2.456,-40.95,0,-19.86,180,29,0,5.9024363,148
2.463,-40.25,0,-18.63,180,39,0,5.8924866,150
2.464,-38.14,0,-14.23,180,54,0,5.943613,158
2.473,-37.61,0,-13.18,180,59,0,5.811001,149
2.475,-34.1,0,-6.85,180,77,0,5.962467,146
2.482,-33.22,0,-5.44,180,81,0,5.8960085,142
2.484,-29.0,0,1.05,180,96,0,5.9546986,144
2.492,-28.12,0,2.46,180,98,0,5.8170147,142
2.493,-23.02,0,10.19,180,109,0,5.270048,143
2.5,-21.97,0,11.77,180,108,0,5.9084873,139
2.503,-17.57,0,18.45,180,109,0,5.718279,124
2.509,-15.82,0,21.26,180,109,0,5.8974123,142
2.511,-11.42,0,27.77,180,102,0,5.946965,137
2.519,-10.37,0,29.35,180,104,0,5.1095905,142
2.52,-5.8,0,36.56,180,96,0,4.520941,143
2.528,-4.92,0,37.79,180,99,0,5.5740004,121
2.53,-0.7000000000000001,0,44.64,180,90,0,2.5589504,105
2.536,0.0,0,46.05,180,91,0,5.9336157,134
2.538,3.16,0,51.32,180,80,0,5.5648575,49
2.545,4.04,0,52.73,180,86,0,3.011177,143
2.548,7.73,0,58.53,180,76,0,5.358426,136
2.556,8.61,0,59.94,180,72,0,3.9785042,64
2.557,12.12,0,65.74,180,75,0,5.261572,131
2.564,12.83,0,66.97,180,69,0,5.6346617,92
2.566,15.82,0,71.36,180,68,0,4.2885046,127
2.573,16.87,0,72.94,180,67,0,2.1314087,139
2.576,19.68,0,76.99,180,69,0,-3.8512383,100
2.581,20.56,0,78.39,180,64,0,-1.3004684,39
2.584,22.85,0,81.38,180,63,0,-2.6643047,107
2.591,23.73,0,82.61,180,66,0,-2.5452418,37
2.592,26.36,0,86.13,180,59,0,2.5452862,71
2.599,27.07,0,86.83,180,59,0,-5.478877,67
2.602,29.35,0,89.82,180,59,0,-1.1589565,52
2.608,30.05,0,90.7,180,49,0,-5.7111244,153
2.611,31.99,0,92.81,180,54,0,-4.5778766,33
2.616,33.04,0,93.69,180,51,0,-5.17224,159
2.62,34.45,0,95.27,180,48,0,-3.705215,126
2.625,35.68,0,96.32,180,48,0,-5.46515,143
2.629,36.91,0,97.38,180,45,0,-4.464013,100
2.634,37.96,0,98.43,180,42,0,-5.4377213,150
2.638,39.02,0,99.31,180,41,0,-4.0860176,122
2.643,40.07,0,99.84,180,36,0,-4.0725865,148
2.647,40.95,0,100.54,180,34,0,-3.2064195,111
2.65,41.83,0,100.89,180,33,0,-3.0529146,108
2.655,42.53,0,101.25,180,33,0,-2.6550093,84
2.66,43.41,0,101.42,180,31,0,-3.0146136,80
2.665,44.29,0,101.42,180,28,0,-1.9366312,67
2.671,45.0,0,101.42,180,27,0,-1.0317993,77
2.675,45.87,0,101.07,180,25,0,-0.77564716,48
2.68,46.4,0,100.72,180,25,0,-0.05337286,26
2.683,47.28,0,100.01,180,24,0,0.9958377,20
2.689,47.63,0,99.66,180,24,0,0.9335189,1
2.691,48.69,0,98.61,180,25,0,1.0000091,19
2.698,48.86,0,98.26,180,25,0,0.85628605,17
2.7,49.92,0,96.5,180,23,0,0.9546218,19
2.708,50.27,0,95.97,180,23,0,3.1811552,16
2.71,51.32,0,93.51,180,23,0,2.9954672,18
2.716,51.67,0,92.98,180,23,0,3.0876045,73
2.719,52.55,0,90.52,180,24,0,3.759945,69
2.726,52.91,0,90.0,180,24,0,2.178585,72
2.727,53.96,0,86.66,180,24,0,3.8668633,91
2.734,54.14,0,85.95,180,25,0,-0.16913366,48
2.735,55.19,0,82.96,180,24,0,1.2705584,94
2.743,55.37,0,81.73,180,24,0,-1.0708561,3
2.745,56.42,0,78.22,180,24,0,-1.3317509,25
2.751,56.6,0,76.81,180,24,0,-2.5546918,27
2.752,57.3,0,73.12,180,20,0,-2.8921888,32
2.761,57.65,0,71.71,180,17,0,-2.0370274,63
2.762,58.18,0,66.62,180,15,0,3.9871407,72
2.769,58.18,0,65.74,180,13,0,-4.04897,49
2.771,58.53,0,60.82,180,12,0,-3.260172,100
2.776,58.53,0,58.35,180,12,0,-4.5210776,105
2.78,58.53,0,54.14,180,8,0,-5.40905,81
2.786,58.35,0,51.32,180,-6,0,-5.682842,117
2.789,57.65,0,45.87,180,-5,0,-5.50609,142
2.795,57.3,0,42.89,180,-5,0,-5.8924484,148
2.797,55.89,0,36.73,180,-35,0,-5.932272,141
2.804,55.01,0,33.57,180,-50,0,-5.797495,151
2.806,52.38,0,25.31,180,-69,0,-5.8295956,149
2.812,51.67,0,23.2,180,-76,0,-5.324789,145
2.814,47.81,0,13.88,180,-104,0,-3.7330546,142
2.823,46.75,0,11.42,180,-112,0,-5.8635893,127
2.824,40.42,0,-1.4,180,-128,0,4.7667103,79
2.831,39.02,0,-4.04,180,-138,0,-2.1707487,139
2.832,33.92,0,-15.46,180,-109,0,5.584194,134
2.841,32.87,0,-17.4,180,-110,0,-5.559825,30
2.843,28.65,0,-28.3,180,-83,0,5.2731686,154
2.849,27.77,0,-30.76,180,-109,0,-2.6296055,133
2.85,25.48,0,-38.84,180,-56,0,1.1591768,143
2.859,24.96,0,-40.42,180,-56,0,-5.8982973,52
2.86,23.02,0,-49.04,180,-41,0,-5.099457,30
2.868,22.5,0,-50.8,180,-38,0,-5.858386,154
2.87,21.09,0,-58.35,180,-30,0,-5.5570397,132
2.877,20.74,0,-59.94,180,-30,0,-5.9010916,152
2.879,19.68,0,-66.79,180,-26,0,-5.600607,145
2.886,19.51,0,-68.2,180,-26,0,-5.94613,155
2.887,18.45,0,-74.0,180,-22,0,-5.550051,147
2.894,18.28,0,-75.23,180,-22,0,-5.969482,156
2.897,17.4,0,-80.33,180,-21,0,-0.70835066,146
2.903,17.05,0,-82.44,180,-21,0,-5.9418993,157
2.906,16.52,0,-86.66,180,-19,0,-5.973636,14
2.912,16.17,0,-88.59,180,-17,0,-5.536324,158
2.914,15.46,0,-92.46,180,-20,0,0.8606262,158
2.92,15.11,0,-94.21,180,-20,0,-5.161388,145
2.922,14.58,0,-97.38,180,-29,0,3.4641418,21
2.929,14.06,0,-99.31,180,-23,0,5.3958626,135
2.93,13.53,0,-102.3,180,-15,0,1.5050249,88
2.939,13.35,0,-103.0,180,-15,0,1.69065,140
2.941,12.65,0,-106.87,180,-16,0,-4.17426,36
2.948,12.48,0,-107.57,180,-16,0,5.34758,39
2.949,11.77,0,-110.91,180,-15,0,-3.5547032,106
2.958,11.77,0,-111.44,180,-15,0,5.0105286,136
2.959,10.72,0,-114.43,180,-17,0,-3.8839803,87
2.967,10.72,0,-114.78,180,-17,0,4.230604,128
2.968,9.66,0,-117.07,180,-18,0,-3.8552506,96
2.976,9.66,0,-117.24,180,-18,0,3.922367,103
2.977,8.43,0,-119.0,180,-24,0,-4.4832754,95
2.986,8.26,0,-119.17,180,-24,0,1.6041241,96
2.987,6.85,0,-120.23,180,-29,0,-5.089329,112
