time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
4.447,0.35000000000000003,0,-5221.4,180,31,0,0,54
4.463,-7.2,0,-5399.64,180,0,0,-3.0394402,0
4.465,-4.04,0,-3.16,180,-67,0,-5.1500854,452
4.475,-4.74,0,-4.04,180,-52,0,4.666354,67
4.479,-10.01,0,-9.31,180,-90,0,5.39452,128
4.489,-11.25,0,-10.72,180,-64,0,-5.83422,129
4.491,-15.64,0,-15.11,180,-65,0,-5.6658792,147
4.503,-16.34,0,-15.64,180,-59,0,-5.907954,142
4.505,-20.74,0,-20.03,180,-65,0,-5.867698,141
4.516,-21.62,0,-20.91,180,-70,0,-5.90754,150
4.519,-26.54,0,-25.31,180,-80,0,-5.0733595,148
4.529,-27.94,0,-26.54,180,-80,0,-5.163308,149
4.531,-32.87,0,-30.93,180,-79,0,-0.4153862,125
4.543,-33.92,0,-31.81,180,-81,0,-0.24992847,127
4.549,-39.19,0,-36.03,180,-74,0,4.7496214,1
4.56,-41.83,0,-38.14,180,-72,0,5.097645,1
4.563,-46.23,0,-41.13,180,-56,0,5.657551,130
4.576,-47.28,0,-41.66,180,-55,0,5.488455,139
4.579,-50.27,0,-43.06,180,-37,0,5.3126583,152
4.591,-50.97,0,-43.24,180,-32,0,4.1043577,147
4.594,-52.73,0,-42.71,180,-22,0,2.1884632,141
4.606,-52.91,0,-42.18,180,-17,0,-2.8588378,105
4.609,-53.61,0,-40.25,180,-10,0,2.1541224,50
4.619,-53.61,0,-39.55,180,-8,0,2.3820019,69
4.623,-53.61,0,-36.38,180,-4,0,3.8680658,48
4.635,-53.43,0,-35.15,180,4,0,5.7773705,54
4.638,-52.2,0,-30.41,180,15,0,5.8120146,95
4.649,-51.67,0,-28.65,180,24,0,5.4139004,148
4.652,-48.86,0,-21.97,180,49,0,0.40461063,146
4.664,-47.81,0,-19.51,180,53,0,5.664239,134
4.668,-43.06,0,-10.54,180,69,0,5.646467,0
4.68,-41.48,0,-7.55,180,81,0,5.53769,138
4.683,-35.15,0,3.16,180,96,0,5.2836456,136
4.695,-32.87,0,6.67,180,104,0,5.4329023,132
4.698,-25.48,0,18.45,180,102,0,3.5313244,124
4.712,-23.37,0,21.97,180,102,0,3.028242,142
4.716,-15.82,0,34.62,180,92,0,-1.333735,77
4.728,-13.71,0,38.14,180,83,0,-0.45016527,63
4.732,-8.26,0,48.16,180,66,0,-1.255372,39
4.742,-6.85,0,50.8,180,60,0,4.2860527,16
4.746,-3.33,0,58.18,180,50,0,4.19308,35
4.756,-2.1,0,60.64,180,53,0,2.9305925,103
4.76,0.52,0,66.44,180,48,0,-3.9547913,101
4.773,1.58,0,68.37,180,44,0,-3.436665,65
4.775,4.39,0,73.82,180,37,0,-2.1027226,107
4.789,5.09,0,75.41,180,35,0,-2.132913,91
4.793,7.38,0,79.98,180,29,0,-4.175491,52
4.805,8.08,0,81.21,180,26,0,-4.1002803,52
4.809,9.66,0,83.67,180,22,0,-3.4032106,111
4.82,10.01,0,84.37,180,19,0,-0.3177948,108
4.824,10.89,0,85.6,180,16,0,-1.344799,87
4.835,11.25,0,85.95,180,13,0,-0.99033785,7
4.839,11.95,0,85.95,180,10,0,-1.4832754,31
4.85,12.12,0,85.78,180,10,0,-1.0739923,24
4.854,12.65,0,84.72,180,8,0,-1.9625196,35
4.864,12.83,0,84.19,180,8,0,-2.369899,25
4.868,13.0,0,82.08,180,6,0,-3.9789312,46
4.881,13.0,0,81.03,180,5,0,-3.5098538,56
4.885,13.0,0,77.16,180,3,0,-4.088087,102
4.896,12.83,0,75.76,180,-3,0,-4.3476453,88
4.9,11.77,0,70.66,180,-9,0,-3.5652888,104
4.914,11.42,0,68.73,180,-16,0,-3.6298592,111
4.917,9.49,0,61.52,180,-26,0,0.12903881,87
4.929,8.61,0,59.06,180,-34,0,-4.59807,88
4.932,5.8,0,50.97,180,-44,0,-4.7028713,4
4.944,4.57,0,48.16,180,-54,0,-5.7371116,115
4.948,0.17,0,37.96,180,-72,0,-5.8630486,114
4.959,-1.58,0,34.27,180,-79,0,-5.9707403,143
4.962,-8.26,0,22.5,180,-116,0,-5.9886413,143
4.974,-11.07,0,18.1,180,-130,0,-5.968156,143
4.978,-21.79,0,2.46,180,-166,0,-5.9449806,140
4.99,-25.66,0,-2.81,180,-171,0,-5.9251986,139
4.994,-38.67,0,-21.62,180,-164,0,-5.9521646,140
5.006,-42.18,0,-26.89,180,-158,0,-5.9238267,140
5.01,-52.2,0,-42.71,180,-130,0,-5.9702816,143
5.02,-55.01,0,-47.63,180,-120,0,-5.9301,144
5.023,-62.05,0,-60.11,180,-104,0,-5.9949226,147
5.035,-63.8,0,-63.63,180,-100,0,-5.724094,148
5.039,-70.31,0,-76.81,180,-86,0,2.1447697,151
5.051,-72.24,0,-80.85,180,-83,0,5.352665,144
5.054,-77.34,0,-92.46,180,-67,0,5.985756,57
5.067,-78.75,0,-95.8,180,-58,0,5.998595,147
5.07,-82.44,0,-105.99,180,-49,0,5.963834,164
5.081,-83.32,0,-109.16,180,-42,0,5.9157286,163
5.086,-85.6,0,-118.65,180,-30,0,5.5710983,159
5.097,-86.13,0,-121.64,180,-25,0,2.1242151,158
5.101,-87.18,0,-130.78,180,-17,0,0.4255066,146
5.112,-87.36,0,-133.59,180,-11,0,2.5701923,49
5.117,-87.53,0,-142.55,180,-10,0,3.2088127,8
5.128,-87.53,0,-145.37,180,-7,0,-1.7063818,59
5.132,-86.83,0,-153.98,180,4,0,-1.4844952,76
5.144,-86.66,0,-156.62,180,4,0,5.997322,41
5.148,-85.42,0,-165.58,180,15,0,5.970976,36
5.159,-84.9,0,-167.87,180,20,0,5.238859,154
5.163,-82.44,0,-177.18,180,40,0,-0.43260717,152
5.177,-81.38,0,-180.35,180,49,0,-5.861409,130
5.18,-77.34,0,-192.83,180,49,0,-5.977079,14
5.191,-76.28,0,-196.52,180,42,0,-5.9827156,161
5.194,-74.35,0,-205.13,180,27,0,-5.777937,164
5.207,-73.82,0,-207.77,180,27,0,-0.40652943,164
5.21,-73.12,0,-216.91,180,10,0,2.7142105,156
5.222,-73.12,0,-219.37,180,8,0,5.998623,8
5.226,-72.94,0,-227.81,180,7,0,5.9943247,64
5.237,-72.77,0,-230.8,180,7,0,5.999956,157
5.24,-72.24,0,-240.29,180,4,0,5.942663,157
5.253,-72.07,0,-243.8,180,4,0,5.996567,157
5.257,-71.54,0,-255.23,180,8,0,5.998493,156
5.267,-71.19,0,-259.1,180,8,0,5.998863,157
5.271,-70.83,0,-269.82,180,7,0,5.986265,157
5.282,-70.83,0,-273.69,180,7,0,5.991621,158
5.285,-70.83,0,-286.52,180,-7,0,5.9936028,158
5.296,-70.83,0,-290.56,180,-5,0,5.9983664,159
5.299,-71.54,0,-304.27,180,-4,0,5.9914417,160
5.311,-71.89,0,-308.32,180,-4,0,0.36964512,160
5.314,-73.82,0,-324.84,180,-29,0,0.10550499,162
5.326,-74.88,0,-330.46,180,-42,0,-1.7544875,12
5.329,-79.1,0,-349.27,180,-68,0,4.522133,8
5.341,-80.68,0,-355.25,180,-73,0,-4.7770224,30
5.344,-85.6,0,-375.82,180,-59,0,-5.9151983,122
5.358,-86.66,0,-380.91,180,-48,0,-5.9239244,120
5.361,-89.29,0,-398.67,180,-33,0,-5.9998236,156
5.373,-90.0,0,-403.94,180,-29,0,-5.9486523,155
5.376,-90.87,0,-419.06,180,-12,0,-5.9909115,159
5.389,-91.05,0,-423.8,180,-9,0,-1.7682362,159
5.392,-90.87,0,-437.34000000000003,180,8,0,3.3142462,161
5.405,-90.52,0,-441.38,180,7,0,5.9247875,42
5.408,-88.94,0,-453.33,180,23,0,5.312109,78
5.42,-88.24,0,-457.03,180,29,0,2.1257658,150
5.424,-85.25,0,-467.75,180,46,0,1.8550701,132
5.434,-84.19,0,-471.09000000000003,180,52,0,-5.9247537,46
5.439,-80.5,0,-479.88,180,61,0,-5.9979916,35
5.45,-79.45,0,-482.51,180,51,0,-5.995637,168
5.454,-75.05,0,-491.3,180,59,0,-5.999422,170
5.466,-73.82,0,-493.76,180,60,0,-5.940408,169
5.469,-69.96,0,-500.8,180,49,0,-5.708583,168
5.48,-69.08,0,-502.55,180,48,0,-4.656896,166
5.484,-66.26,0,-507.65,180,38,0,5.6710987,158
5.494,-65.56,0,-509.06,180,36,0,5.61265,127
5.498,-62.92,0,-512.92,180,42,0,5.9834347,144
5.511,-61.87,0,-514.51,180,42,0,5.962821,141
5.515,-58.0,0,-519.6,180,59,0,5.985365,150
5.525,-56.42,0,-521.36,180,64,0,4.954548,148
5.528,-51.85,0,-526.28,180,82,0,5.590189,147
5.54,-50.09,0,-528.22,180,87,0,-5.2722883,118
5.544,-43.24,0,-535.25,180,106,0,2.4907684,134
5.556,-40.95,0,-537.89,180,115,0,-5.8564515,151
5.56,-33.04,0,-545.27,180,102,0,-5.530489,45
5.573,-30.93,0,-547.73,180,106,0,-5.8957686,169
5.576,-24.08,0,-554.94,180,79,0,-5.8531647,158
5.589,-22.5,0,-556.69,180,74,0,-5.913954,167
5.592,-18.1,0,-561.62,180,53,0,-5.918852,163
5.604,-17.05,0,-563.02,180,50,0,-5.9389935,164
5.608,-14.23,0,-566.89,180,36,0,-5.991689,163
5.62,-13.53,0,-568.12,180,31,0,-5.971362,162
5.623,-12.12,0,-571.28,180,20,0,-5.925828,163
5.636,-11.95,0,-572.34,180,15,0,-3.5351765,161
5.638,-11.6,0,-575.15,180,12,0,1.4616079,159
5.651,-11.6,0,-576.03,180,9,0,4.888839,89
5.655,-11.6,0,-579.72,180,4,0,2.8387938,32
5.667,-11.42,0,-580.78,180,3,0,5.3368196,125
5.67,-10.72,0,-585.52,180,3,0,5.755433,66
5.682,-10.37,0,-587.1,180,11,0,5.9582186,138
5.685,-9.14,0,-593.26,180,21,0,5.5345287,148
5.697,-8.43,0,-595.54,180,21,0,4.310628,154
5.7,-6.67,0,-602.5699999999999,180,29,0,0.19952774,141
5.712,-5.97,0,-604.86,180,29,0,-1.6074724,106
5.716,-4.21,0,-613.8199999999999,180,26,0,-0.33197784,0
5.727,-3.69,0,-616.64,180,25,0,-0.28718567,39
5.73,-2.46,0,-625.78,180,18,0,0.8247309,7
5.742,-2.2800000000000002,0,-628.5899999999999,180,18,0,-0.18508196,6
5.745,-1.58,0,-639.31,180,12,0,-2.4127922,18
5.758,-1.58,0,-642.8299999999999,180,9,0,-0.82118607,0
5.761,-2.2800000000000002,0,-656.54,180,-6,0,-3.590321,54
5.773,-2.81,0,-660.23,180,-12,0,-5.739045,16
5.777,-5.44,0,-674.47,180,-47,0,-5.9433594,85
5.788,-7.2,0,-680.62,180,-58,0,-5.188089,144
5.791,-13.0,0,-696.97,180,-110,0,-5.9486203,145
5.803,-14.94,0,-701.54,180,-126,0,-5.3079004,122
5.807,-26.19,0,-724.04,180,-165,0,-5.9399347,139
5.819,-29.88,0,-731.07,180,-166,0,-5.9537506,120
5.823,-40.6,0,-753.57,180,-127,0,-5.9658184,144
5.834,-43.24,0,-759.9,180,-113,0,2.0595665,146
5.838,-49.74,0,-778.18,180,-82,0,-5.9594545,150
5.85,-51.32,0,-783.8,180,-69,0,5.9636936,54
5.854,-55.72,0,-800.85,180,-50,0,-5.4704227,154
5.866,-56.25,0,-804.9,180,-35,0,5.993561,162
5.87,-58.88,0,-820.72,180,-31,0,3.9881268,143
5.881,-59.23,0,-824.94,180,-22,0,5.6386395,160
5.885,-59.76,0,-839.0,180,-11,0,5.5299683,101
5.897,-59.76,0,-843.04,180,-8,0,5.794779,146
5.901,-58.35,0,-857.81,180,15,0,4.9465456,141
5.913,-57.48,0,-862.38,180,37,0,-1.0205717,147
5.916,-53.78,0,-876.97,180,65,0,-5.702689,119
5.929,-52.2,0,-881.71,180,69,0,-5.99977,32
5.933,-46.58,0,-898.94,180,75,0,-5.998055,161
5.946,-45.0,0,-903.86,180,70,0,-5.999547,168
5.949,-41.3,0,-918.98,180,37,0,-5.999896,165
5.961,-40.6,0,-923.02,180,28,0,-5.999873,164
5.964,-39.72,0,-934.62,180,17,0,-5.7225347,161
5.976,-39.72,0,-937.61,180,13,0,5.9995346,161
5.98,-40.6,0,-948.51,180,-6,0,5.999695,151
5.991,-40.78,0,-951.67,180,-6,0,6.0,160
5.994,-41.83,0,-962.92,180,-15,0,6.0,160
6.006,-42.18,0,-966.26,180,-15,0,6.0,160
6.009,-43.24,0,-978.39,180,-16,0,6.0,160
6.02,-43.59,0,-982.26,180,-16,0,6.0,160
6.024,-45.17,0,-995.97,180,-21,0,5.9999914,160
6.035,-45.87,0,-1000.01,180,-24,0,5.9999866,161
6.038,-47.98,0,-1013.37,180,-34,0,5.9994297,162
6.048,-48.69,0,-1017.24,180,-38,0,5.988658,162
6.052,-52.03,0,-1032.3600000000001,180,-56,0,5.958843,164
6.064,-53.26,0,-1037.28,180,-64,0,5.4590816,165
6.067,-59.06,0,-1056.44,180,-90,0,5.155285,167
6.079,-60.99,0,-1061.71,180,-97,0,0.25725317,154
6.083,-68.9,0,-1083.51,180,-100,0,-2.411366,146
6.094,-70.66,0,-1088.96,180,-85,0,-5.901913,12
6.098,-76.11,0,-1105.66,180,-68,0,-5.999654,49
6.107,-77.69,0,-1111.99,180,-56,0,-5.975437,150
6.112,-80.5,0,-1125.0,180,-44,0,-5.9995413,155
6.122,-81.73,0,-1130.97,180,-41,0,-5.950343,157
6.126,-83.49,0,-1143.1,180,-26,0,-5.848754,158
6.138,-83.84,0,-1147.14,180,-24,0,-4.404023,172
6.142,-85.07,0,-1160.15,180,-16,0,-3.6599672,155
6.153,-85.25,0,-1163.84,180,-14,0,5.497734,114
6.156,-85.6,0,-1175.09,180,-10,0,5.7079945,92
6.168,-85.42,0,-1178.08,180,9,0,5.8546104,142
6.172,-84.72,0,-1188.63,180,5,0,5.154415,146
6.184,-84.19,0,-1191.62,180,19,0,5.3463764,166
6.188,-81.91,0,-1201.11,180,35,0,2.837738,130
6.199,-80.85,0,-1204.62,180,39,0,-3.1556582,134
6.202,-77.69,0,-1213.06,180,53,0,1.7255163,62
6.214,-76.64,0,-1216.05,180,47,0,-4.8018723,86
6.217,-72.42,0,-1224.31,180,63,0,0.048484325,31
6.229,-71.19,0,-1226.95,180,54,0,-5.0110283,134
6.232,-66.44,0,-1234.8600000000001,180,70,0,2.0316353,5
6.244,-65.03,0,-1237.1399999999999,180,67,0,-5.507625,141
6.248,-60.11,0,-1244.53,180,73,0,3.7718906,37
6.259,-58.71,0,-1246.99,180,71,0,-5.9357853,155
6.263,-53.26,0,-1254.19,180,79,0,-3.8261518,86
6.274,-51.67,0,-1256.83,180,82,0,-5.985371,168
6.277,-47.1,0,-1263.16,180,66,0,-5.9562473,107
6.289,-45.87,0,-1265.09,180,56,0,-5.975361,167
6.293,-42.71,0,-1270.19,180,39,0,-5.8700056,164
6.304,-42.01,0,-1271.42,180,34,0,-5.9785085,164
6.308,-40.42,0,-1275.29,180,21,0,-5.9985404,159
6.318,-40.25,0,-1276.34,180,16,0,-5.987183,161
6.322,-40.25,0,-1278.45,180,-6,0,-5.892149,160
6.333,-40.42,0,-1278.98,180,-5,0,-0.4250841,159
6.336,-41.66,0,-1280.3899999999999,180,-15,0,5.909582,155
6.35,-42.01,0,-1280.74,180,-19,0,5.9900646,6
6.353,-42.89,0,-1283.2,180,-14,0,5.6902027,155
6.365,-42.71,0,-1284.25,180,11,0,5.9870377,158
6.368,-41.83,0,-1288.65,180,10,0,5.8765554,146
6.38,-41.3,0,-1290.41,180,21,0,5.7830067,154
6.384,-39.02,0,-1297.08,180,35,0,5.2289057,150
6.395,-38.14,0,-1299.37,180,37,0,4.2893686,146
6.397,-35.5,0,-1306.4,180,45,0,-1.5115943,131
6.408,-34.62,0,-1308.8600000000001,180,44,0,-3.792185,104
6.411,-31.99,0,-1316.77,180,39,0,-2.628797,39
6.421,-31.28,0,-1319.23,180,35,0,-0.8284855,101
6.425,-29.53,0,-1327.1399999999999,180,31,0,2.2133102,67
6.435,-28.82,0,-1330.48,180,28,0,3.4522667,22
6.44,-27.42,0,-1339.1,180,24,0,3.2115726,47
6.449,-26.89,0,-1342.79,180,21,0,2.217022,83
6.454,-26.01,0,-1351.75,180,17,0,0.47818136,76
