time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
3.616,22.5,180,-101.42,0,9,0,0,122
3.627,79.45,180,-5.44,0,0,0,6.0,0
3.631,-2.1,180,-1.23,0,-34,0,-6.0,412
3.633,-1.58,180,-2.1,0,23,0,4.49681,153
3.636,-2.1,180,-2.81,0,-65,0,-5.9917383,151
3.639,-2.46,180,-3.69,0,-40,0,-1.7623572,119
3.642,-3.33,180,-4.21,0,-27,0,-5.9559183,154
3.645,-4.04,180,-5.09,0,-40,0,5.9234476,35
3.647,-4.92,180,-5.8,0,-51,0,-5.5924034,151
3.649,-5.09,180,-6.5,0,-35,0,-3.7049937,158
3.651,-6.15,180,-7.2,0,-49,0,-5.4986124,140
3.654,-6.32,180,-7.55,0,-45,0,5.3334293,87
3.656,-7.55,180,-8.43,0,-48,0,5.849554,136
3.658,-7.73,180,-9.14,0,-37,0,-5.9205737,142
3.662,-8.26,180,-9.49,0,-36,0,5.653816,159
3.665,-9.31,180,-10.54,0,-50,0,5.992387,149
3.667,-10.01,180,-11.42,0,-36,0,-5.940017,153
3.669,-10.54,180,-11.95,0,-36,0,-5.801532,163
3.672,-11.42,180,-12.65,0,-68,0,5.939289,150
3.674,-12.12,180,-13.18,0,-41,0,-4.0711155,146
3.676,-12.3,180,-13.53,0,-41,0,5.230727,158
3.678,-13.18,180,-14.23,0,-30,0,5.9037113,105
3.681,-13.35,180,-14.58,0,-30,0,5.7908106,138
3.683,-13.88,180,-14.94,0,-31,0,5.9662666,157
3.686,-14.06,180,-15.29,0,-31,0,5.917885,157
3.688,-14.76,180,-15.64,0,-33,0,5.992855,159
3.691,-14.94,180,-15.82,0,-27,0,5.9227,157
3.693,-15.29,180,-15.99,0,-27,0,5.994875,159
3.695,-15.46,180,-16.17,0,-17,0,5.992979,157
3.697,-15.64,180,-16.17,0,-17,0,5.9511766,158
3.698,-15.64,180,-16.17,0,-17,0,5.965333,157
3.699,-15.82,180,-15.99,0,-17,0,5.965333,156
3.701,-15.82,180,-15.99,0,-17,0,5.7707787,156
3.702,-15.82,180,-15.82,0,-15,0,5.966254,156
3.705,-15.64,180,-15.64,0,13,0,5.803933,150
3.708,-15.64,180,-15.46,0,11,0,5.84457,155
3.71,-15.46,180,-14.76,0,8,0,5.828209,150
3.713,-15.29,180,-14.58,0,7,0,5.780675,151
3.715,-14.76,180,-13.88,0,7,0,5.828599,149
3.716,-14.41,180,-13.35,0,22,0,5.712549,147
3.718,-14.23,180,-13.0,0,22,0,5.7492113,148
3.72,-13.88,180,-12.48,0,22,0,5.8759556,145
3.722,-13.53,180,-11.95,0,31,0,5.8130894,146
3.723,-13.18,180,-11.25,0,31,0,5.9105587,162
3.727,-12.83,180,-10.89,0,37,0,5.8967705,149
3.729,-11.77,180,-9.49,0,42,0,5.9265594,150
3.73,-11.07,180,-8.43,0,47,0,5.904045,149
3.732,-10.72,180,-7.91,0,53,0,5.9415226,149
3.733,-10.01,180,-7.03,0,56,0,5.9677134,148
3.735,-9.66,180,-6.5,0,58,0,5.9377136,149
3.737,-8.78,180,-5.44,0,64,0,5.9536543,149
3.739,-8.26,180,-4.74,0,64,0,5.9289427,148
3.741,-7.38,180,-3.69,0,70,0,5.9514017,148
3.744,-6.85,180,-2.98,0,70,0,5.808222,147
