time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
4.871,2.81,0,4.39,180,48,0,0,149
4.881,-0.52,0,0.35000000000000003,180,0,0,5.8427334,0
4.884,-4.92,0,-0.87,180,-68,0,-5.99827,420
4.886,-4.92,0,-1.4,180,-24,0,-4.891012,155
4.889,-5.62,0,-2.1,180,-22,0,5.844494,159
4.891,-6.32,0,-2.81,180,-45,0,-5.994435,125
4.894,-6.5,0,-3.16,180,-31,0,4.3999004,170
4.896,-7.38,0,-4.04,180,-55,0,5.9067802,159
4.901,-7.73,0,-4.39,180,-33,0,-5.5552077,117
4.904,-8.61,0,-5.44,180,-34,0,5.996912,158
4.906,-9.31,0,-6.15,180,-42,0,-4.4105015,148
4.909,-9.66,0,-6.5,180,-29,0,5.295542,161
4.912,-10.37,0,-7.03,180,-24,0,5.9432526,112
4.914,-10.54,0,-7.2,180,-24,0,5.534068,141
4.916,-10.72,0,-7.55,180,-24,0,5.998255,158
4.919,-11.07,0,-7.73,180,-24,0,5.9986153,147
4.921,-11.42,0,-7.91,180,-17,0,5.9983063,159
4.922,-11.42,0,-8.08,180,-17,0,5.917282,159
4.925,-11.6,0,-8.08,180,-17,0,5.998684,159
4.927,-11.6,0,-8.08,180,-17,0,5.996645,156
4.929,-11.6,0,-8.08,180,-14,0,5.996645,157
4.932,-11.6,0,-7.91,180,-11,0,5.9887733,158
4.934,-11.42,0,-7.73,180,9,0,5.9779034,157
4.937,-11.25,0,-7.55,180,7,0,5.760849,156
4.94,-11.07,0,-7.03,180,6,0,5.8346195,155
4.942,-10.72,0,-6.5,180,6,0,5.8354397,148
4.945,-10.19,0,-5.97,180,24,0,5.873024,149
4.947,-9.66,0,-5.27,180,24,0,5.7887173,149
4.95,-9.14,0,-4.57,180,33,0,5.7494917,150
4.953,-8.43,0,-3.69,180,38,0,5.8832912,146
4.956,-7.73,0,-2.98,180,44,0,5.4794903,145
4.958,-6.85,0,-1.9300000000000002,180,47,0,5.963707,163
4.96,-6.15,0,-1.05,180,53,0,5.314496,136
4.963,-5.27,0,0.0,180,60,0,5.971218,150
4.965,-4.21,0,1.05,180,62,0,5.4650497,131
4.968,-3.16,0,2.2800000000000002,180,69,0,5.970189,148
4.97,-2.1,0,3.51,180,69,0,5.935625,134
4.973,-0.87,0,4.74,180,76,0,5.547724,147
4.975,0.0,0,5.97,180,77,0,5.6618023,146
4.978,1.23,0,7.38,180,80,0,5.9413815,135
4.981,2.46,0,8.96,180,83,0,5.6399775,138
4.984,4.04,0,10.72,180,87,0,5.8825645,145
4.987,5.8,0,12.48,180,89,0,5.8826046,136
4.99,7.38,0,14.41,180,92,0,5.8809814,143
4.992,8.96,0,15.99,180,94,0,5.3274164,142
4.995,10.37,0,17.57,180,95,0,5.938857,142
4.999,11.77,0,19.16,180,96,0,5.9444523,126
5.001,14.06,0,21.62,180,94,0,5.949499,143
5.004,15.64,0,23.37,180,98,0,5.4397125,143
5.007,17.4,0,25.31,180,97,0,5.9471426,143
5.01,19.16,0,27.07,180,101,0,5.9001713,130
5.013,20.74,0,28.82,180,98,0,5.9156885,144
5.015,22.5,0,30.58,180,100,0,5.1898355,143
5.018,24.08,0,32.34,180,99,0,5.888706,143
5.02,25.48,0,33.92,180,100,0,5.1451626,123
5.023,27.07,0,35.5,180,101,0,5.54097,143
5.026,28.3,0,36.91,180,99,0,5.626375,122
5.029,30.58,0,39.19,180,99,0,4.068241,133
5.031,32.16,0,40.78,180,98,0,5.856266,135
5.034,33.75,0,42.53,180,93,0,4.927782,91
5.036,35.33,0,44.12,180,94,0,5.2047997,142
5.039,36.56,0,45.52,180,96,0,3.905285,116
5.041,38.14,0,47.1,180,95,0,3.2103224,124
5.043,39.55,0,48.51,180,93,0,3.2908545,87
5.046,40.78,0,49.92,180,90,0,2.9584055,67
5.047,42.18,0,51.15,180,95,0,2.8869076,70
5.049,42.89,0,52.03,180,90,0,-0.50679207,60
5.05,44.12,0,53.08,180,90,0,5.7211742,59
5.052,44.82,0,53.78,180,88,0,2.921852,19
5.054,45.52,0,54.49,180,85,0,1.9151201,132
5.055,46.4,0,55.37,180,83,0,5.5405293,62
5.056,47.46,0,56.25,180,98,0,5.7513037,32
5.058,47.98,0,56.77,180,88,0,3.0391474,131
5.059,48.69,0,57.48,180,90,0,1.9045758,139
5.061,49.39,0,58.18,180,80,0,4.8320446,65
5.063,50.44,0,59.06,180,86,0,5.3833885,32
5.064,51.32,0,59.94,180,86,0,5.7020664,114
5.066,52.03,0,60.64,180,89,0,5.5420036,130
5.068,52.73,0,61.17,180,86,0,4.3849964,146
5.07,53.78,0,62.05,180,86,0,5.178303,135
5.072,54.66,0,62.92,180,81,0,3.2124805,101
5.073,55.72,0,63.8,180,85,0,3.6701155,124
5.075,56.6,0,64.51,180,81,0,3.2581062,69
5.076,57.48,0,65.21,180,85,0,4.860487,81
5.078,58.18,0,65.74,180,85,0,3.912799,70
5.079,58.88,0,66.44,180,82,0,2.4145927,113
5.081,59.58,0,66.97,180,92,0,3.5469637,90
5.082,60.29,0,67.5,180,74,0,1.7978067,45
5.084,61.17,0,68.2,180,82,0,2.2199373,78
5.086,62.05,0,68.73,180,81,0,3.0340118,30
5.091,62.92,0,69.43,180,84,0,3.1975632,40
5.093,64.86,0,70.66,180,81,0,0.9921856,63
5.095,66.26,0,71.71,180,80,0,2.0731068,68
5.096,67.14,0,72.24,180,79,0,-5.376787,14
5.099,67.85,0,72.59,180,82,0,-0.28237152,36
5.1,68.73,0,73.12,180,72,0,-1.5353117,152
5.102,69.6,0,73.65,180,98,0,-1.6356287,15
5.104,70.31,0,74.0,180,76,0,2.8133287,44
5.106,71.19,0,74.53,180,85,0,-3.313088,46
5.108,72.07,0,74.88,180,76,0,-0.7471156,58
5.11,73.12,0,75.41,180,73,0,-3.7869635,92
5.111,74.0,0,75.93,180,81,0,-3.2831001,26
5.113,74.53,0,76.11,180,67,0,-2.5307913,104
5.115,75.58,0,76.46,180,75,0,-4.2806077,91
5.117,76.28,0,76.81,180,70,0,-4.4868636,70
5.119,77.16,0,77.16,180,69,0,-1.042283,120
5.12,77.87,0,77.34,180,68,0,-4.875457,126
5.122,78.57,0,77.51,180,69,0,-4.9681764,35
5.124,79.27,0,77.87,180,69,0,-5.067339,136
5.126,80.15,0,78.04,180,62,0,-4.988418,138
5.127,80.85,0,78.22,180,61,0,-5.3775773,144
5.129,81.38,0,78.39,180,70,0,-5.267499,138
5.131,82.08,0,78.39,180,56,0,-5.16246,152
5.133,82.61,0,78.57,180,63,0,-5.3868766,147
5.135,83.32,0,78.57,180,59,0,-4.9433064,144
5.137,83.84,0,78.75,180,54,0,-4.9214244,151
5.138,84.55,0,78.75,180,58,0,-5.766286,137
5.14,85.07,0,78.75,180,55,0,-5.108905,137
5.142,85.78,0,78.75,180,54,0,-5.4840374,161
5.144,86.3,0,78.75,180,50,0,-5.548248,141
5.147,86.83,0,78.57,180,50,0,-5.7358637,153
5.148,87.53,0,78.39,180,49,0,-5.3156986,153
5.15,88.06,0,78.39,180,46,0,-5.507078,159
5.153,88.59,0,78.22,180,46,0,-5.7533803,147
5.155,89.12,0,78.04,180,44,0,-5.5927415,152
5.157,89.64,0,77.69,180,41,0,-5.661945,159
5.159,90.0,0,77.51,180,39,0,-4.963299,154
5.16,90.52,0,77.16,180,39,0,-5.5153265,156
5.162,90.87,0,76.81,180,37,0,-4.954137,136
5.164,91.23,0,76.64,180,37,0,-5.557348,151
5.166,91.58,0,76.28,180,34,0,-5.16199,135
5.168,91.93,0,75.93,180,34,0,-4.449983,153
5.169,92.28,0,75.41,180,31,0,-4.4988875,153
5.171,92.63,0,75.05,180,31,0,-5.700247,133
5.174,92.98,0,74.53,180,27,0,-3.7276947,121
5.175,93.33,0,73.82,180,27,0,-3.3975015,155
5.177,93.69,0,73.3,180,25,0,-5.7936506,99
