time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
2.898,-70.13,0,165.05,180,-154,0,0,140
2.904,-7.55,0,0.17,180,0,0,-5.81014,0
2.906,-1.23,0,-0.52,180,-45,0,5.9734306,423
2.907,-1.4,0,-0.7000000000000001,180,-45,0,-5.5335236,159
2.909,-1.58,0,-0.87,180,-41,0,4.642761,152
2.91,-1.9300000000000002,0,-1.23,180,-27,0,-5.0734787,135
2.911,-2.1,0,-1.4,180,-27,0,5.5152445,110
2.912,-2.1,0,-1.4,180,-58,0,1.1864653,122
2.913,-2.46,0,-1.75,180,-58,0,-5.4381037,137
2.914,-2.46,0,-1.75,180,-58,0,-3.3724601,31
2.916,-2.81,0,-2.1,180,-74,0,3.5413227,131
2.917,-2.98,0,-2.46,180,-74,0,-3.9091406,86
2.918,-2.98,0,-2.46,180,-51,0,-4.983076,83
2.919,-3.33,0,-2.63,180,-34,0,4.6477337,87
2.92,-3.51,0,-2.98,180,-30,0,0.38070345,128
2.921,-3.51,0,-3.16,180,-30,0,1.9978094,116
2.923,-3.86,0,-3.33,180,-30,0,4.5678062,15
2.924,-4.04,0,-3.69,180,-26,0,2.2644787,45
2.925,-4.04,0,-3.69,180,-20,0,3.794119,118
2.926,-4.39,0,-3.86,180,-19,0,2.0789433,59
2.928,-4.57,0,-4.21,180,-19,0,1.0825891,95
2.929,-4.57,0,-4.21,180,-19,0,1.5282621,53
2.93,-4.92,0,-4.39,180,-27,0,2.2986908,29
2.931,-4.92,0,-4.57,180,-27,0,4.730448,36
2.932,-5.09,0,-4.74,180,-27,0,4.7807493,55
2.933,-5.09,0,-4.74,180,-27,0,4.674617,121
2.934,-5.27,0,-4.92,180,-25,0,4.357605,125
2.936,-5.44,0,-4.92,180,-20,0,4.064749,124
2.937,-5.44,0,-5.09,180,-16,0,2.8077374,113
2.938,-5.62,0,-5.09,180,-15,0,1.4694614,107
2.939,-5.62,0,-5.27,180,-15,0,1.5866532,70
2.94,-5.8,0,-5.27,180,-15,0,2.2560682,36
2.941,-5.8,0,-5.27,180,-15,0,2.698717,38
2.942,-5.8,0,-5.44,180,-15,0,3.066225,51
2.943,-5.97,0,-5.44,180,-15,0,3.1866055,65
2.945,-5.97,0,-5.44,180,-15,0,3.2418365,75
2.946,-5.97,0,-5.44,180,-14,0,3.2640877,78
2.946,-6.15,0,-5.44,180,-12,0,3.1172981,81
2.948,-6.15,0,-5.44,180,-11,0,2.9266863,80
2.95,-6.15,0,-5.44,180,-10,0,2.8585558,77
2.951,-6.15,0,-5.44,180,-8,0,3.2046232,70
2.953,-6.15,0,-5.44,180,-7,0,3.6264534,69
2.954,-6.15,0,-5.44,180,-6,0,3.8171978,78
2.956,-6.15,0,-5.44,180,-6,0,4.1728,90
2.957,-6.15,0,-5.27,180,-5,0,4.4705114,95
2.959,-6.15,0,-5.27,180,-5,0,4.6681767,106
2.96,-5.97,0,-5.09,180,5,0,4.710635,114
2.961,-5.97,0,-4.92,180,4,0,4.6968527,120
2.964,-5.8,0,-4.74,180,4,0,4.5907536,121
2.965,-5.62,0,-4.57,180,4,0,5.37257,120
2.967,-5.44,0,-4.39,180,4,0,5.6820135,117
2.968,-5.44,0,-4.21,180,4,0,5.580612,138
2.969,-5.27,0,-4.04,180,4,0,5.586834,146
2.97,-5.09,0,-3.86,180,17,0,5.5782347,144
2.971,-4.92,0,-3.51,180,17,0,5.692518,144
2.972,-4.74,0,-3.33,180,17,0,5.5720043,144
2.974,-4.39,0,-2.98,180,26,0,5.778885,146
2.975,-4.21,0,-2.81,180,26,0,5.892911,143
2.976,-3.86,0,-2.46,180,26,0,5.96014,148
2.978,-3.69,0,-2.1,180,33,0,5.940033,151
2.979,-3.33,0,-1.58,180,33,0,5.9383163,153
2.98,-2.98,0,-1.23,180,39,0,5.939127,152
2.982,-2.63,0,-0.87,180,39,0,5.8939915,152
2.983,-2.2800000000000002,0,-0.52,180,44,0,5.848524,152
2.984,-1.9300000000000002,0,0.0,180,44,0,5.79554,150
2.986,-1.58,0,0.17,180,49,0,5.732832,148
2.986,-1.23,0,0.7000000000000001,180,49,0,5.645488,147
2.987,-0.7000000000000001,0,1.05,180,52,0,5.6767015,144
2.989,-0.35000000000000003,0,1.58,180,52,0,5.5854263,141
2.99,0.0,0,2.1,180,56,0,5.5348644,143
2.992,0.35000000000000003,0,2.63,180,59,0,5.4607725,140
2.993,0.87,0,3.16,180,59,0,5.0934715,138
2.994,1.4,0,3.69,180,61,0,4.9211063,136
2.995,1.9300000000000002,0,4.21,180,64,0,4.0841885,126
2.996,2.2800000000000002,0,4.74,180,64,0,3.7132692,120
2.998,2.81,0,5.27,180,66,0,3.3539286,98
2.999,3.33,0,5.8,180,66,0,2.8671875,85
3.0,3.86,0,6.5,180,70,0,2.4292898,75
3.001,4.39,0,7.03,180,70,0,1.8256173,61
3.002,4.92,0,7.55,180,67,0,1.1211033,48
3.003,5.44,0,8.26,180,70,0,1.0959678,33
3.005,5.97,0,8.78,180,68,0,0.78569555,17
3.007,6.32,0,9.31,180,68,0,0.29462624,17
3.008,6.85,0,9.84,180,69,0,0.014893532,10
3.009,7.38,0,10.37,180,68,0,-0.5118189,0
3.01,7.91,0,10.89,180,68,0,-1.2261634,9
3.012,8.43,0,11.42,180,67,0,-1.648819,18
3.013,8.96,0,12.12,180,66,0,-2.0156715,36
3.014,9.49,0,12.65,180,64,0,-2.3994584,45
3.015,9.84,0,13.18,180,64,0,-2.4650989,54
3.016,10.19,0,13.53,180,63,0,-2.8407433,64
3.017,10.72,0,14.06,180,63,0,-3.129229,66
3.018,11.07,0,14.41,180,61,0,-3.5060906,77
3.019,11.42,0,14.76,180,61,0,-3.401075,85
3.02,11.77,0,15.29,180,58,0,-3.4409804,96
3.022,12.12,0,15.64,180,57,0,-3.1754544,93
3.022,12.65,0,15.99,180,57,0,-2.8923445,94
3.024,12.83,0,16.34,180,54,0,-3.1677256,87
3.025,13.35,0,16.87,180,54,0,-2.6156151,78
3.026,13.53,0,17.22,180,52,0,-2.5680623,85
3.027,13.88,0,17.4,180,51,0,-2.2577214,70
3.028,14.23,0,17.92,180,51,0,-2.0105016,68
3.029,14.58,0,18.1,180,50,0,-1.9665041,59
3.031,14.94,0,18.45,180,50,0,-2.0016067,53
3.032,15.29,0,18.8,180,47,0,-2.0060492,51
3.033,15.46,0,19.16,180,47,0,-1.6730809,52
3.034,15.82,0,19.51,180,45,0,-1.6109176,52
3.035,16.17,0,19.86,180,45,0,-1.6150675,44
3.036,16.52,0,20.03,180,42,0,-1.6259546,43
3.037,16.69,0,20.39,180,42,0,-1.1969643,43
3.038,17.05,0,20.56,180,42,0,-0.89509773,43
3.04,17.22,0,20.91,180,40,0,-0.758595,33
3.041,17.57,0,21.09,180,40,0,-0.77911043,25
3.042,17.75,0,21.44,180,40,0,0.04665184,22
3.043,18.1,0,21.62,180,38,0,0.0018615723,22
3.044,18.28,0,21.79,180,38,0,-0.4273758,3
3.045,18.63,0,22.14,180,37,0,0.09455395,4
3.047,18.8,0,22.32,180,37,0,-0.17781448,12
3.048,19.16,0,22.5,180,37,0,-0.065919876,3
3.049,19.33,0,22.67,180,35,0,-0.00017404556,3
3.05,19.51,0,22.85,180,35,0,-0.5398989,3
3.051,19.68,0,23.2,180,35,0,-0.10692835,3
3.052,20.03,0,23.37,180,32,0,-0.15565348,14
3.053,20.21,0,23.37,180,32,0,-0.793694,4
3.054,20.39,0,23.55,180,32,0,-0.19008112,2
3.055,20.56,0,23.73,180,32,0,-0.45671988,21
3.056,20.74,0,23.9,180,30,0,-0.38933277,4
3.058,21.09,0,24.08,180,30,0,-0.30466318,12
3.059,21.26,0,24.25,180,30,0,-0.14354467,12
3.06,21.44,0,24.43,180,30,0,-0.17475414,9
3.062,21.62,0,24.43,180,30,0,-0.098246574,2
3.063,21.79,0,24.6,180,30,0,-0.057624817,3
3.064,21.97,0,24.78,180,30,0,-0.10114765,2
3.065,22.14,0,24.78,180,26,0,-0.12152243,2
3.066,22.32,0,24.96,180,26,0,-1.6300611,2
3.067,22.5,0,24.96,180,26,0,-1.2621174,1
3.068,22.67,0,25.13,180,26,0,-1.6469312,39
3.07,22.85,0,25.13,180,24,0,-1.6669483,32
3.07,22.85,0,25.13,180,24,0,-2.0025923,40
3.071,23.02,0,25.31,180,24,0,-2.0663788,41
3.072,23.2,0,25.31,180,24,0,-2.0931294,49
3.074,23.37,0,25.31,180,24,0,-1.9995294,50
3.075,23.55,0,25.31,180,20,0,-1.5033541,51
3.077,23.55,0,25.31,180,20,0,-2.855436,49
3.078,23.73,0,25.48,180,20,0,-2.9004087,38
3.079,23.9,0,25.48,180,20,0,-3.464962,71
3.08,23.9,0,25.31,180,20,0,-3.364126,73
3.081,24.08,0,25.31,180,19,0,-2.3286066,89
3.082,24.08,0,25.31,180,16,0,-2.8161702,87
3.084,24.25,0,25.31,180,14,0,-3.3741083,57
3.085,24.25,0,25.13,180,14,0,-3.6552768,69
3.086,24.43,0,25.13,180,14,0,-3.5072842,86
3.087,24.43,0,24.96,180,14,0,-3.2763624,94
3.088,24.43,0,24.96,180,14,0,-2.8474052,89
3.089,24.43,0,24.78,180,14,0,-2.6174698,84
3.09,24.6,0,24.6,180,14,0,-2.6760836,71
3.091,24.6,0,24.6,180,13,0,-2.8866253,64
3.093,24.6,0,24.43,180,11,0,-2.6049142,65
3.094,24.6,0,24.25,180,10,0,-2.1614707,71
3.095,24.6,0,24.08,180,9,0,-1.9901166,64
3.096,24.6,0,23.9,180,8,0,-1.7280092,51
3.097,24.6,0,23.73,180,8,0,-1.2723975,46
3.098,24.6,0,23.55,180,7,0,-0.9727173,41
3.1,24.6,0,23.37,180,7,0,-0.4663458,29
3.101,24.6,0,23.2,180,6,0,-0.06423569,22
3.102,24.6,0,23.02,180,6,0,0.5110493,10
3.103,24.6,0,22.85,180,5,0,0.94281197,0
3.104,24.43,0,22.67,180,-5,0,1.5945415,10
3.105,24.43,0,22.32,180,-5,0,5.164132,21
3.107,24.43,0,22.14,180,-5,0,5.288741,36
3.108,24.43,0,21.79,180,-5,0,5.528372,130
3.109,24.43,0,21.62,180,-5,0,5.765094,139
3.11,24.43,0,21.44,180,-5,0,5.804981,145
3.111,24.43,0,21.26,180,-5,0,5.8152256,151
3.112,24.43,0,21.09,180,-5,0,5.819563,153
3.113,24.43,0,20.74,180,-5,0,5.828394,153
3.114,24.43,0,20.56,180,-5,0,5.8108025,153
3.116,24.43,0,20.39,180,-5,0,5.799636,154
3.117,24.43,0,20.21,180,-5,0,5.7973347,152
3.118,24.43,0,20.03,180,-5,0,5.8006096,152
3.119,24.43,0,19.86,180,5,0,5.8060904,152
3.12,24.6,0,19.68,180,5,0,4.522336,152
3.121,24.6,0,19.51,180,5,0,2.066103,152
3.122,24.6,0,19.33,180,5,0,1.1469059,117
3.123,24.78,0,19.16,180,5,0,1.5438185,50
3.124,24.78,0,18.8,180,5,0,1.7961807,26
3.125,24.78,0,18.63,180,5,0,1.5027208,34
3.127,24.96,0,18.45,180,5,0,1.3283186,39
3.128,24.96,0,18.28,180,5,0,1.2416277,33
3.129,25.13,0,18.1,180,5,0,1.2471066,29
3.13,25.13,0,17.92,180,5,0,1.3443336,27
3.131,25.13,0,17.75,180,5,0,1.2405491,26
3.132,25.31,0,17.57,180,5,0,1.141345,28
3.134,25.31,0,17.4,180,5,0,1.046957,26
3.135,25.31,0,17.22,180,5,0,0.9630852,24
3.136,25.48,0,17.05,180,5,0,0.89934254,22
