time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
3.715,-5.27,0,-1062.07,180,-45,0,0,21
3.735,-1.58,0,-1080.52,180,0,0,6.0,0
3.739,-6.32,0,-5.97,180,-93,0,-5.9830165,418
3.749,-7.38,0,-7.2,180,-52,0,-6.0,169
3.752,-13.71,0,-13.53,180,-108,0,5.9523697,150
3.763,-15.64,0,-15.64,180,-99,0,-4.4776106,151
3.766,-20.91,0,-20.91,180,-84,0,5.9018917,166
3.778,-22.67,0,-22.85,180,-72,0,-5.2788267,108
3.781,-27.24,0,-27.07,180,-54,0,5.6930485,163
3.792,-28.65,0,-28.65,180,-74,0,-5.705227,134
3.794,-31.46,0,-30.93,180,-40,0,5.9245815,154
3.806,-32.16,0,-31.81,180,-44,0,-1.9609737,149
3.809,-34.1,0,-32.69,180,-24,0,5.610903,159
3.819,-34.62,0,-33.22,180,-27,0,-1.549478,43
3.822,-35.15,0,-32.69,180,-11,0,1.7667775,149
3.835,-35.5,0,-32.69,180,-10,0,5.2759676,36
3.838,-35.5,0,-30.76,180,11,0,3.278839,40
3.85,-35.33,0,-29.88,180,11,0,5.8574486,136
3.853,-34.27,0,-26.89,180,8,0,5.92222,78
3.865,-33.75,0,-25.48,180,19,0,5.913801,150
3.868,-30.93,0,-20.03,180,45,0,5.9528866,150
3.88,-29.7,0,-18.28,180,53,0,5.8535643,153
3.884,-24.43,0,-9.84,180,81,0,5.9468155,147
3.895,-22.5,0,-7.2,180,92,0,5.8321915,144
3.901,-15.11,0,2.81,180,115,0,5.853756,143
3.911,-11.6,0,7.55,180,121,0,5.912756,139
3.915,-3.51,0,18.63,180,124,0,5.42572,140
3.928,-0.7000000000000001,0,22.32,180,121,0,5.4936485,141
3.933,8.61,0,35.15,180,112,0,-0.76903534,129
3.944,11.6,0,39.37,180,106,0,-2.5155334,132
3.948,17.75,0,48.33,180,90,0,5.864565,28
3.959,19.68,0,51.32,180,86,0,3.5979633,70
3.962,25.48,0,60.11,180,82,0,5.7559376,146
3.975,27.07,0,62.57,180,84,0,5.784766,81
3.979,32.69,0,70.66,180,77,0,5.6230516,144
3.991,34.45,0,73.12,180,75,0,5.199085,143
3.995,39.72,0,79.8,180,72,0,4.9552097,140
4.006,41.3,0,81.73,180,72,0,3.0204296,127
4.01,46.58,0,87.18,180,75,0,2.774332,120
4.022,48.33,0,88.94,180,78,0,-1.2535057,65
4.025,53.61,0,92.98,180,77,0,-1.5671644,57
4.037,55.37,0,94.04,180,78,0,-2.324589,38
4.042,60.64,0,96.85,180,73,0,-0.7756281,45
4.053,62.22,0,97.73,180,72,0,-5.223287,63
4.057,67.32,0,99.31,180,70,0,-3.3213608,26
4.068,68.73,0,99.49,180,65,0,-5.8094225,147
4.072,73.3,0,99.84,180,65,0,-5.7879987,92
4.084,74.7,0,99.84,180,64,0,-5.941279,163
4.087,78.57,0,98.96,180,51,0,-5.940727,163
4.099,79.45,0,98.61,180,50,0,-5.9902086,166
4.103,82.61,0,96.5,180,41,0,-5.995684,165
4.115,83.49,0,95.62,180,38,0,-5.948811,167
4.119,85.78,0,92.46,180,30,0,-5.9921427,165
4.13,86.3,0,91.05,180,26,0,-4.2065854,164
4.134,87.53,0,86.83,180,16,0,-5.83867,164
4.146,87.71,0,85.07,180,16,0,-1.5737762,112
4.15,87.89,0,79.45,180,6,0,-1.4052935,158
4.162,87.89,0,77.51,180,5,0,-0.9232745,36
4.165,87.18,0,70.66,180,-4,0,3.3742237,31
4.176,86.83,0,68.02,180,-12,0,-1.589241,19
4.18,85.6,0,60.29,180,-16,0,5.0243425,86
4.191,84.9,0,56.95,180,-21,0,-4.523049,33
4.194,83.14,0,48.69,180,-30,0,-2.9863393,135
4.204,82.08,0,44.82,180,-42,0,-5.1393576,113
4.208,79.1,0,34.8,180,-57,0,-3.709118,67
4.22,77.34,0,30.58,180,-66,0,-5.322921,128
4.224,70.83,0,15.99,180,-102,0,-4.4273806,82
4.236,68.02,0,10.37,180,-119,0,-4.8199463,126
4.239,58.71,0,-6.5,180,-143,0,5.454854,99
4.251,55.54,0,-12.48,180,-139,0,-3.1556017,111
4.255,47.63,0,-28.47,180,-90,0,5.2501345,156
4.267,45.52,0,-33.39,180,-87,0,-3.9872012,68
4.271,41.13,0,-45.87,180,-52,0,-5.9729586,144
4.283,39.9,0,-49.74,180,-49,0,-5.7970037,97
4.286,36.73,0,-60.64,180,-40,0,-5.84549,157
4.297,35.85,0,-64.16,180,-39,0,-5.873109,152
4.3,33.39,0,-72.94,180,-36,0,-0.65534306,153
4.312,32.69,0,-75.41,180,-35,0,-3.5919356,154
