time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
2.67,30.58,0,140.27,180,32,0,0,15
2.674,0.35000000000000003,0,0.0,180,0,0,-5.9416995,0
2.675,-0.87,0,-0.17,180,0,0,-3.9321122,422
2.676,-1.05,0,-0.35000000000000003,180,0,0,-0.93458605,166
2.678,-1.05,0,-0.35000000000000003,180,0,0,0.528986,101
2.679,-1.23,0,-0.7000000000000001,180,-26,0,-5.8574934,23
2.68,-1.4,0,-0.7000000000000001,180,-26,0,4.801794,11
2.681,-1.75,0,-0.87,180,-26,0,4.1423225,145
2.682,-1.75,0,-1.05,180,-26,0,5.365776,112
2.683,-1.58,0,-1.05,180,-21,0,5.14287,106
2.684,-1.9300000000000002,0,-1.23,180,-18,0,3.3498058,143
2.685,-1.9300000000000002,0,-1.4,180,-18,0,2.0843945,134
2.686,-2.1,0,-1.4,180,-18,0,2.0692024,88
2.689,-2.2800000000000002,0,-1.75,180,-18,0,2.3700352,51
2.69,-2.46,0,-1.9300000000000002,180,-18,0,2.5602179,50
2.691,-2.46,0,-1.9300000000000002,180,-16,0,2.5119057,55
2.692,-2.63,0,-2.1,180,-15,0,2.4089832,61
2.693,-2.81,0,-2.1,180,-15,0,2.2595358,61
2.694,-2.81,0,-2.2800000000000002,180,-15,0,2.4416714,57
2.695,-2.81,0,-2.2800000000000002,180,-15,0,2.6937065,53
2.696,-2.98,0,-2.2800000000000002,180,-15,0,2.7468033,57
2.697,-2.98,0,-2.2800000000000002,180,-15,0,2.76229,64
2.698,-2.98,0,-2.46,180,-15,0,2.7808237,67
2.699,-3.16,0,-2.46,180,-13,0,2.77355,66
2.7,-3.16,0,-2.46,180,-12,0,2.6458998,66
2.701,-3.16,0,-2.46,180,-11,0,2.1363716,67
2.702,-3.16,0,-2.46,180,-10,0,2.2147894,63
2.703,-3.16,0,-2.46,180,-9,0,2.5061064,49
2.704,-3.16,0,-2.63,180,-8,0,2.735506,51
2.705,-3.16,0,-2.63,180,-7,0,3.0495453,58
2.707,-3.16,0,-2.63,180,-7,0,3.326023,65
2.708,-3.16,0,-2.63,180,-6,0,3.5731134,73
2.709,-3.16,0,-2.46,180,-6,0,3.8799782,81
2.71,-3.16,0,-2.46,180,-6,0,3.9040308,89
2.711,-3.16,0,-2.46,180,-5,0,4.052109,97
2.712,-3.16,0,-2.46,180,-5,0,4.1694803,98
2.713,-3.16,0,-2.46,180,-5,0,4.1169853,102
2.714,-2.98,0,-2.2800000000000002,180,5,0,4.2614355,105
2.716,-2.98,0,-2.2800000000000002,180,4,0,4.497938,104
2.717,-2.98,0,-2.1,180,4,0,4.006647,107
2.719,-2.81,0,-2.1,180,4,0,5.221876,114
2.72,-2.81,0,-1.9300000000000002,180,4,0,5.566169,101
2.721,-2.63,0,-1.75,180,4,0,5.5255184,132
2.722,-2.46,0,-1.58,180,4,0,5.5065956,143
2.723,-2.46,0,-1.58,180,4,0,5.501899,143
2.724,-2.2800000000000002,0,-1.4,180,4,0,5.50037,142
2.725,-2.1,0,-1.23,180,15,0,5.4977703,142
2.726,-1.9300000000000002,0,-1.05,180,15,0,5.479663,141
2.728,-1.75,0,-0.87,180,15,0,5.1929054,140
2.729,-1.58,0,-0.7000000000000001,180,15,0,5.5799217,141
2.73,-1.58,0,-0.52,180,15,0,5.814472,133
2.731,-1.23,0,-0.35000000000000003,180,24,0,5.8018703,142
2.732,-1.05,0,0.0,180,24,0,5.8704576,149
2.733,-0.87,0,0.0,180,24,0,5.89137,149
2.734,-0.7000000000000001,0,0.17,180,32,0,5.830126,150
2.735,-0.35000000000000003,0,0.52,180,32,0,5.868906,151
2.736,-0.17,0,0.7000000000000001,180,32,0,5.840021,148
2.737,0.0,0,1.05,180,37,0,5.810502,150
2.739,0.17,0,1.4,180,37,0,5.7855015,149
2.74,0.7000000000000001,0,1.75,180,41,0,5.745721,149
2.741,0.87,0,2.1,180,41,0,5.687113,161
2.742,1.23,0,2.46,180,48,0,5.614521,160
2.743,1.58,0,2.81,180,48,0,5.485382,143
2.744,1.9300000000000002,0,3.33,180,49,0,5.49337,141
2.745,2.2800000000000002,0,3.69,180,49,0,5.455248,137
2.746,2.63,0,4.04,180,54,0,5.281186,137
2.747,2.98,0,4.39,180,54,0,5.0712852,136
2.748,3.33,0,4.74,180,58,0,4.902561,131
2.749,3.69,0,5.27,180,58,0,4.029929,125
2.75,4.04,0,5.62,180,58,0,3.276864,120
2.751,4.57,0,5.97,180,58,0,3.0508814,96
2.753,4.92,0,6.5,180,60,0,2.4974918,74
2.754,5.27,0,6.85,180,60,0,2.1512432,66
2.754,5.62,0,7.38,180,64,0,1.8815045,52
2.756,5.97,0,7.73,180,60,0,1.1203208,42
2.757,6.5,0,8.08,180,60,0,0.98079395,35
2.758,6.85,0,8.61,180,64,0,0.877583,18
2.759,7.38,0,8.96,180,64,0,-0.48055553,14
2.759,7.73,0,9.49,180,63,0,-1.4624095,12
2.761,8.08,0,9.84,180,61,0,-1.2324305,16
2.762,8.61,0,10.37,180,61,0,-1.1317163,40
2.763,8.96,0,10.72,180,61,0,-1.4447765,36
2.764,9.31,0,11.07,180,61,0,-1.6954355,33
2.765,9.66,0,11.6,180,60,0,-1.872313,41
2.766,10.19,0,11.95,180,60,0,-1.891664,46
2.767,10.54,0,12.3,180,59,0,-2.1343982,49
2.769,10.89,0,12.65,180,59,0,-2.2154002,50
2.77,11.25,0,13.18,180,56,0,-2.3229525,56
2.771,11.6,0,13.53,180,56,0,-2.2157707,58
2.772,11.95,0,13.88,180,54,0,-1.9698033,61
2.773,12.3,0,14.23,180,54,0,-1.9879599,58
2.775,12.65,0,14.58,180,53,0,-1.7644086,52
2.776,13.0,0,14.94,180,52,0,-2.0251164,52
2.777,13.35,0,15.29,180,50,0,-1.8485165,47
2.778,13.71,0,15.64,180,50,0,-1.5497026,53
2.779,14.06,0,15.82,180,49,0,-1.6900988,49
2.78,14.23,0,16.17,180,49,0,-1.7295761,42
2.781,14.58,0,16.52,180,46,0,-1.6992512,44
2.782,14.94,0,16.69,180,46,0,-1.3195739,45
2.783,15.11,0,17.05,180,45,0,-1.3526564,45
2.784,15.46,0,17.22,180,44,0,-1.2282519,35
2.785,15.64,0,17.57,180,44,0,-1.1330466,36
2.786,15.99,0,17.75,180,42,0,-0.9628706,34
2.787,16.34,0,18.1,180,42,0,-0.7936268,31
2.788,16.52,0,18.28,180,42,0,-0.7275648,28
2.789,16.87,0,18.45,180,40,0,-0.71401834,23
2.791,17.05,0,18.8,180,40,0,-0.8781805,21
2.792,17.4,0,18.98,180,39,0,-0.35786152,20
2.793,17.57,0,19.16,180,39,0,-0.6364393,24
2.794,17.75,0,19.33,180,39,0,-0.485466,11
2.795,18.1,0,19.51,180,37,0,-0.3445115,18
2.796,18.28,0,19.86,180,37,0,-0.8862767,15
2.797,18.45,0,20.03,180,37,0,-0.3117013,10
2.798,18.8,0,20.21,180,35,0,-0.43735504,23
2.799,18.98,0,20.39,180,35,0,-1.02177,10
2.801,19.16,0,20.56,180,35,0,-0.47065735,13
2.802,19.33,0,20.74,180,33,0,-0.68767166,26
2.803,19.68,0,20.91,180,32,0,-1.2266951,14
2.804,19.86,0,20.91,180,32,0,-0.7672467,18
2.805,20.03,0,21.09,180,32,0,-0.9222708,34
2.806,20.21,0,21.26,180,31,0,-0.9802828,25
2.807,20.39,0,21.44,180,31,0,-0.7463312,25
2.808,20.56,0,21.44,180,31,0,-0.37671804,26
2.809,20.74,0,21.62,180,31,0,-0.49797964,22
2.81,20.91,0,21.79,180,30,0,-0.4973426,10
2.811,21.09,0,21.79,180,30,0,-0.55493116,13
2.813,21.26,0,21.97,180,30,0,-0.4974723,14
2.814,21.44,0,21.97,180,27,0,-0.56459475,14
2.815,21.62,0,22.14,180,25,0,-1.8627505,14
2.816,21.79,0,22.14,180,25,0,-2.1780274,15
2.817,21.97,0,22.32,180,25,0,-2.418804,44
2.818,22.14,0,22.32,180,25,0,-2.583921,53
2.819,22.32,0,22.32,180,23,0,-2.1074557,59
2.82,22.32,0,22.32,180,23,0,-2.4495199,64
2.821,22.5,0,22.32,180,23,0,-2.5177553,52
2.822,22.67,0,22.5,180,23,0,-2.7923355,59
2.823,22.67,0,22.5,180,23,0,-2.59392,62
2.824,22.85,0,22.5,180,21,0,-1.9350629,71
2.825,22.85,0,22.5,180,18,0,-2.7931542,64
2.826,23.02,0,22.5,180,17,0,-3.685277,48
2.827,23.2,0,22.32,180,17,0,-3.9031687,69
2.828,23.2,0,22.32,180,17,0,-3.976643,94
2.83,23.2,0,22.32,180,17,0,-3.7880917,102
2.832,23.37,0,22.32,180,17,0,-3.4008307,104
2.834,23.37,0,22.14,180,16,0,-3.17937,99
2.835,23.55,0,21.97,180,12,0,-3.4000235,87
2.836,23.55,0,21.79,180,11,0,-3.6537356,81
2.837,23.55,0,21.79,180,10,0,-3.391973,85
2.839,23.55,0,21.62,180,9,0,-3.0728421,94
2.84,23.55,0,21.44,180,8,0,-2.396625,86
2.84,23.55,0,21.26,180,7,0,-1.3263979,77
2.842,23.55,0,21.09,180,7,0,-0.33459663,57
2.843,23.55,0,20.91,180,6,0,-0.03516674,32
2.844,23.55,0,20.74,180,6,0,0.9788132,6
2.845,23.55,0,20.56,180,5,0,1.4804239,0
2.846,23.55,0,20.39,180,5,0,2.4539204,21
2.847,23.55,0,20.21,180,5,0,2.7816963,32
2.849,23.55,0,20.03,180,5,0,2.8513317,56
2.849,23.55,0,19.86,180,4,0,2.8994236,66
2.85,23.37,0,19.68,180,-4,0,3.5508938,68
2.851,23.37,0,19.51,180,-4,0,5.0354824,70
2.853,23.37,0,19.33,180,-4,0,5.3036366,87
2.854,23.37,0,19.16,180,-4,0,5.6369886,129
2.855,23.37,0,18.98,180,-3,0,5.770795,137
2.856,23.37,0,18.63,180,-3,0,5.7765446,147
2.857,23.37,0,18.45,180,-3,0,5.741205,151
2.858,23.55,0,18.28,180,3,0,5.704569,152
2.859,23.55,0,18.1,180,3,0,5.0918074,150
2.86,23.55,0,18.1,180,3,0,4.37401,149
2.861,23.55,0,17.75,180,3,0,4.219404,132
2.862,23.55,0,17.75,180,3,0,3.892891,112
2.864,23.73,0,17.57,180,3,0,4.345336,107
2.864,23.73,0,17.4,180,3,0,4.3201895,98
2.866,23.73,0,17.22,180,3,0,4.249256,109
2.867,23.9,0,17.05,180,3,0,4.22993,109
2.869,23.9,0,16.87,180,3,0,4.1034603,107
2.87,24.08,0,16.69,180,3,0,4.038418,106
2.871,24.08,0,16.69,180,3,0,3.9658499,103
2.872,24.25,0,16.52,180,3,0,3.9891605,101
2.873,24.25,0,16.34,180,3,0,3.9508438,99
2.874,24.43,0,16.17,180,11,0,3.871646,100
2.875,24.43,0,16.17,180,11,0,-1.051537,98
2.876,24.6,0,15.99,180,11,0,-1.4692955,96
2.877,24.6,0,15.82,180,11,0,-0.33883905,20
2.878,24.78,0,15.64,180,11,0,-0.5735612,35
2.879,24.96,0,15.46,180,11,0,-2.3973963,9
2.88,24.96,0,15.46,180,11,0,-2.575829,13
2.881,24.96,0,15.11,180,11,0,-2.5267816,56
2.883,25.13,0,14.94,180,13,0,-2.6649327,63
2.884,25.13,0,14.76,180,13,0,-2.8725772,62
2.885,25.31,0,14.58,180,13,0,-3.257041,65
2.886,25.31,0,14.41,180,13,0,-3.3760576,71
2.887,25.31,0,14.23,180,13,0,-3.4274278,82
2.888,25.48,0,14.06,180,13,0,-3.8919015,86
2.889,25.48,0,13.88,180,13,0,-3.9276745,87
2.89,25.48,0,13.71,180,13,0,-3.9699345,100
2.893,25.48,0,13.35,180,12,0,-4.009574,102
2.894,25.48,0,12.83,180,9,0,-4.1595945,103
2.895,25.48,0,12.48,180,8,0,-4.334668,103
2.896,25.48,0,12.3,180,8,0,-4.2242846,107
2.897,25.48,0,11.95,180,7,0,-4.137566,113
2.898,25.48,0,11.77,180,7,0,-3.769558,110
2.899,25.31,0,11.42,180,-6,0,-2.964414,107
2.9,25.31,0,11.07,180,-6,0,-0.3416195,96
2.902,25.31,0,10.72,180,-6,0,0.86559296,74
2.902,25.31,0,10.37,180,-6,0,3.6185217,8
2.904,25.13,0,10.01,180,-6,0,4.1496534,19
2.905,25.13,0,9.66,180,-6,0,4.203026,87
2.906,25.13,0,9.49,180,-6,0,4.084856,105
2.91,24.96,0,9.14,180,-6,0,4.1005898,108
2.911,24.96,0,7.91,180,-6,0,4.085726,104
2.913,24.96,0,7.55,180,-6,0,3.4837236,105
2.914,24.78,0,7.2,180,-6,0,3.2031145,104
2.915,24.78,0,6.85,180,-6,0,3.146122,88
