time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
2.197,-39.37,0,988.24,180,21,0,0,151
2.205,0.87,0,719.8199999999999,180,0,0,0,0
2.207,-1.75,0,-1.05,180,-30,0,6.0,421
2.212,-1.9300000000000002,0,-1.4,180,-30,0,6.0,3
2.215,-3.16,0,-2.63,180,-36,0,-5.3565607,162
2.221,-3.51,0,-2.81,180,-35,0,-5.7193317,160
2.223,-4.74,0,-4.21,180,-37,0,-5.09072,140
2.228,-5.09,0,-4.57,180,-34,0,-5.717091,148
2.231,-6.67,0,-6.15,180,-39,0,-5.448808,129
2.236,-7.03,0,-6.5,180,-39,0,-5.7421827,147
2.238,-8.61,0,-8.08,180,-50,0,-5.8355794,139
2.242,-9.31,0,-8.78,180,-59,0,-5.839161,147
2.244,-11.07,0,-10.37,180,-58,0,-5.871315,162
2.249,-11.77,0,-11.25,180,-66,0,-5.850558,150
2.251,-13.71,0,-13.0,180,-67,0,-5.89818,148
2.256,-14.76,0,-14.06,180,-74,0,-5.870678,148
2.258,-16.87,0,-16.17,180,-75,0,-5.875878,149
2.263,-17.92,0,-17.05,180,-80,0,-5.8635373,148
2.265,-20.39,0,-19.33,180,-82,0,-5.8145823,147
2.27,-21.26,0,-20.39,180,-83,0,-5.771279,148
2.271,-23.73,0,-22.5,180,-87,0,-5.698682,145
2.276,-24.6,0,-23.37,180,-88,0,-5.734331,144
2.277,-27.07,0,-25.66,180,-90,0,-5.7128243,142
2.282,-28.12,0,-26.54,180,-90,0,-5.6261983,142
2.284,-30.58,0,-28.82,180,-93,0,-5.760721,142
2.289,-32.16,0,-30.23,180,-92,0,-5.016972,150
2.291,-34.1,0,-31.99,180,-94,0,-5.43261,142
2.294,-35.85,0,-33.57,180,-91,0,-5.0373683,121
2.299,-37.61,0,-35.15,180,-95,0,-5.5462794,133
2.302,-40.25,0,-37.44,180,-92,0,-1.7785482,122
2.304,-41.3,0,-38.49,180,-97,0,-3.3128836,136
2.308,-43.24,0,-40.07,180,-99,0,-5.211941,30
2.311,-45.0,0,-41.48,180,-95,0,-4.786464,72
2.313,-47.28,0,-43.41,180,-89,0,-5.072589,126
2.319,-47.98,0,-43.94,180,-93,0,-5.190979,116
2.32,-51.15,0,-46.4,180,-93,0,4.342413,134
2.326,-51.67,0,-46.93,180,-89,0,-3.750752,128
2.327,-54.66,0,-49.04,180,-77,0,5.2808495,123
2.333,-55.37,0,-49.57,180,-93,0,-4.8935666,79
2.334,-57.83,0,-51.5,180,-72,0,5.5708313,149
2.339,-58.71,0,-52.03,180,-99,0,-4.2263603,113
2.341,-60.82,0,-53.61,180,-61,0,5.8090467,155
2.347,-61.52,0,-53.96,180,-89,0,-4.3758097,92
2.347,-63.28,0,-55.19,180,-66,0,5.8805447,160
2.353,-63.8,0,-55.54,180,-56,0,-1.1711273,94
2.354,-65.56,0,-56.6,180,-51,0,5.5765724,162
2.36,-66.09,0,-56.77,180,-51,0,-1.937459,13
2.361,-67.5,0,-57.3,180,-43,0,5.3937416,152
2.365,-68.02,0,-57.48,180,-46,0,3.381359,29
2.367,-69.08,0,-57.83,180,-44,0,5.0196056,146
2.374,-69.6,0,-58.0,180,-44,0,4.4489326,92
2.375,-71.01,0,-58.0,180,-35,0,4.876053,135
2.38,-71.19,0,-58.0,180,-34,0,5.2066374,119
2.382,-72.24,0,-57.83,180,-31,0,5.2331886,143
2.388,-72.59,0,-57.65,180,-30,0,5.666333,138
2.389,-73.3,0,-56.95,180,-22,0,5.690461,139
2.395,-73.47,0,-56.77,180,-22,0,5.473942,149
2.396,-74.0,0,-55.72,180,-18,0,5.612707,150
2.401,-74.17,0,-55.54,180,-18,0,5.5706577,145
2.403,-74.35,0,-54.31,180,-14,0,5.6790504,147
2.407,-74.53,0,-53.61,180,-11,0,5.7721596,145
2.41,-74.53,0,-52.2,180,-8,0,5.8618345,148
2.414,-74.35,0,-51.5,180,7,0,5.743292,151
2.417,-74.17,0,-49.74,180,5,0,5.578657,151
2.42,-74.0,0,-48.69,180,5,0,5.908205,149
2.423,-73.65,0,-47.1,180,5,0,5.8556643,143
2.427,-73.12,0,-45.35,180,15,0,5.906516,152
2.43,-72.59,0,-43.59,180,24,0,5.9176865,149
2.434,-71.71,0,-41.66,180,32,0,5.912591,167
2.436,-71.01,0,-39.72,180,38,0,5.809041,151
2.44,-70.31,0,-37.79,180,43,0,5.7718754,151
2.442,-68.9,0,-34.98,180,53,0,5.192523,146
2.448,-68.37,0,-34.1,180,58,0,5.789921,145
2.449,-66.26,0,-29.7,180,70,0,-0.21987343,127
2.454,-65.56,0,-28.65,180,75,0,5.945919,143
2.456,-62.75,0,-23.73,180,84,0,1.4002895,12
2.461,-62.05,0,-22.5,180,93,0,5.7831116,140
2.463,-59.58,0,-18.1,180,87,0,5.7273026,22
2.468,-58.18,0,-15.99,180,115,0,5.9689837,138
2.469,-55.19,0,-11.25,180,106,0,5.9272413,137
2.474,-53.78,0,-8.96,180,122,0,5.9363737,144
2.476,-49.74,0,-3.16,180,134,0,3.9240828,139
2.481,-48.69,0,-1.58,180,133,0,5.892194,140
2.482,-43.76,0,5.44,180,142,0,5.225443,82
2.488,-42.71,0,7.03,180,144,0,5.9137726,136
