time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
2.248,-1.9300000000000002,0,180.17,180,-7,0,0,48
2.258,-2.81,0,0.17,180,0,0,0,0
2.259,-1.9300000000000002,0,-1.23,180,-43,0,-6.0,423
2.265,-2.1,0,-1.58,180,-43,0,-3.186482,7
2.266,-3.86,0,-3.33,180,-45,0,4.69289,158
2.272,-4.21,0,-3.51,180,-51,0,-5.2923565,75
2.273,-5.8,0,-5.27,180,-59,0,4.7594795,128
2.278,-6.32,0,-5.62,180,-46,0,-4.8557816,125
2.28,-7.55,0,-7.03,180,-40,0,2.6911335,129
2.286,-8.08,0,-7.38,180,-40,0,-3.6028554,117
2.287,-9.14,0,-8.43,180,-29,0,0.81304836,70
2.292,-9.49,0,-8.96,180,-29,0,-4.803815,82
2.295,-10.54,0,-9.84,180,-29,0,-4.9374037,21
2.298,-11.07,0,-10.37,180,-41,0,-5.5821476,123
2.301,-11.77,0,-11.07,180,-33,0,-1.4590592,128
2.305,-12.48,0,-11.77,180,-41,0,-5.0052347,146
2.31,-13.35,0,-12.48,180,-38,0,-2.5160751,28
2.311,-14.76,0,-13.71,180,-45,0,-2.8244505,127
2.316,-15.11,0,-13.88,180,-45,0,-3.7762156,58
2.318,-16.69,0,-15.29,180,-47,0,-0.51052094,65
2.322,-17.05,0,-15.64,180,-47,0,-4.918129,90
2.325,-18.28,0,-16.52,180,-46,0,-4.6548357,7
2.328,-19.16,0,-17.22,180,-49,0,-4.8101153,126
2.333,-20.21,0,-18.1,180,-48,0,-4.741704,117
2.335,-21.44,0,-18.98,180,-52,0,-4.5300813,121
2.338,-22.32,0,-19.68,180,-53,0,-5.122035,119
2.342,-23.73,0,-20.74,180,-61,0,-5.2064247,112
2.345,-24.78,0,-21.62,180,-60,0,-5.0356092,130
2.349,-26.01,0,-22.5,180,-65,0,-5.1179733,131
2.351,-27.24,0,-23.37,180,-63,0,-5.218597,126
2.355,-28.47,0,-24.25,180,-68,0,-5.5533967,129
2.357,-30.23,0,-25.48,180,-68,0,-5.033945,131
2.362,-31.28,0,-26.19,180,-71,0,-5.5513206,140
2.363,-33.22,0,-27.59,180,-73,0,-5.2611947,126
2.369,-33.57,0,-27.94,180,-73,0,-5.6956162,139
2.371,-36.21,0,-29.7,180,-73,0,-4.4741387,131
2.376,-36.73,0,-30.05,180,-76,0,-5.52359,158
2.377,-39.37,0,-31.81,180,-75,0,-4.3989563,108
2.382,-40.07,0,-32.16,180,-81,0,-5.5371056,138
2.385,-42.71,0,-33.92,180,-81,0,0.27596378,105
2.39,-43.41,0,-34.27,180,-82,0,-5.593834,137
2.391,-45.87,0,-35.85,180,-76,0,2.5641193,13
2.397,-46.58,0,-36.21,180,-80,0,-5.702358,135
2.398,-48.86,0,-37.44,180,-68,0,3.7006073,69
2.404,-49.74,0,-37.79,180,-97,0,-5.930704,135
2.405,-51.85,0,-38.84,180,-60,0,5.8191967,103
2.41,-52.73,0,-39.37,180,-90,0,-5.9573736,144
2.413,-54.66,0,-40.07,180,-57,0,5.1438303,163
2.417,-55.37,0,-40.42,180,-83,0,-5.9219346,146
2.419,-56.42,0,-40.78,180,-40,0,0.08952236,140
2.422,-57.65,0,-41.13,180,-88,0,-5.2410607,154
2.428,-58.53,0,-41.3,180,-42,0,5.6636763,4
2.429,-60.29,0,-41.66,180,-55,0,-5.364253,134
2.434,-60.64,0,-41.48,180,-55,0,-3.848942,148
2.436,-62.75,0,-41.83,180,-53,0,0.4899187,139
2.443,-63.1,0,-41.83,180,-48,0,-3.7434876,93
2.445,-65.21,0,-41.66,180,-50,0,-3.667078,15
2.45,-65.91,0,-41.66,180,-60,0,-1.3924217,88
2.452,-67.67,0,-41.66,180,-54,0,3.1426983,87
2.457,-68.2,0,-41.66,180,-54,0,-0.008569241,27
2.46,-69.78,0,-40.95,180,-49,0,0.2141447,83
2.465,-70.31,0,-40.78,180,-51,0,4.9825764,5
2.466,-71.89,0,-40.25,180,-45,0,1.5670209,6
2.471,-72.24,0,-40.07,180,-42,0,4.6950808,131
2.473,-73.65,0,-39.19,180,-40,0,-1.2539682,40
2.478,-73.82,0,-38.84,180,-40,0,5.5215034,124
2.479,-75.23,0,-37.79,180,-39,0,1.1385798,25
2.485,-75.41,0,-37.44,180,-39,0,5.804327,143
2.488,-76.64,0,-36.03,180,-38,0,5.861643,32
2.492,-76.99,0,-35.15,180,-32,0,5.970462,156
2.494,-77.69,0,-33.75,180,-27,0,5.9623756,157
2.497,-77.87,0,-32.87,180,-21,0,5.969181,160
2.502,-78.22,0,-31.28,180,-21,0,5.982073,158
2.504,-78.39,0,-29.7,180,-15,0,5.9999,157
2.509,-78.39,0,-28.65,180,-11,0,5.9833174,158
2.509,-78.22,0,-26.19,180,8,0,5.9869547,157
2.514,-78.04,0,-25.13,180,7,0,5.951229,156
2.516,-77.51,0,-22.14,180,7,0,5.9467363,155
2.521,-77.16,0,-20.74,180,20,0,5.9547176,153
2.523,-76.11,0,-16.69,180,31,0,5.766571,155
2.529,-75.76,0,-15.64,180,39,0,5.970896,152
2.53,-73.82,0,-10.54,180,58,0,-1.9425154,146
2.535,-73.3,0,-9.31,180,58,0,5.9871006,150
2.538,-71.19,0,-4.04,180,68,0,-5.956446,55
2.543,-70.48,0,-2.63,180,66,0,5.977375,143
2.544,-68.55,0,2.46,180,55,0,-5.9945393,171
2.55,-67.85,0,3.69,180,76,0,5.9930058,140
2.551,-66.44,0,8.26,180,60,0,-5.999668,170
2.557,-65.74,0,9.49,180,49,0,3.5172806,140
2.558,-64.51,0,13.88,180,42,0,-5.8826385,170
2.564,-63.98,0,15.11,180,57,0,5.993602,76
2.565,-63.1,0,18.8,180,23,0,-5.9660177,164
2.571,-62.75,0,20.03,180,23,0,5.718706,145
2.572,-62.22,0,23.37,180,36,0,5.709631,167
2.578,-62.05,0,24.6,180,25,0,-1.7771916,141
2.579,-61.34,0,27.77,180,22,0,5.563262,148
2.585,-61.34,0,28.47,180,17,0,5.922694,36
2.586,-60.46,0,31.99,180,23,0,2.1542997,146
2.592,-60.46,0,32.69,180,23,0,5.87912,153
2.593,-59.76,0,36.03,180,17,0,-1.4208698,45
2.599,-59.41,0,36.73,180,17,0,5.9980583,149
2.6,-59.06,0,39.37,180,16,0,3.350233,35
2.606,-58.88,0,40.25,180,16,0,5.998295,149
2.607,-58.35,0,42.89,180,16,0,5.1159573,81
2.613,-58.18,0,43.59,180,16,0,5.997761,154
2.614,-57.65,0,46.23,180,17,0,5.25321,131
2.62,-57.48,0,46.93,180,17,0,5.9958887,157
2.622,-56.95,0,49.04,180,19,0,5.994276,135
2.626,-56.6,0,49.92,180,19,0,5.9981327,156
2.629,-56.07,0,51.67,180,21,0,5.9978523,156
2.632,-55.54,0,52.73,180,24,0,5.99578,173
