time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
2.285,-45.17,0,-12598.76,180,-147,0,0,134
2.299,-4.04,0,-13319.64,180,0,0,5.8831873,0
2.301,-3.51,0,-2.98,180,-59,0,-1.1893778,420
2.312,-3.69,0,-3.51,180,-47,0,3.20055,144
2.314,-8.08,0,-7.91,180,-68,0,-5.8931923,21
2.324,-8.43,0,-8.43,180,-68,0,-5.8147774,81
2.325,-12.83,0,-12.65,180,-69,0,-5.7575245,149
2.334,-13.53,0,-13.35,180,-78,0,-5.8877525,148
2.339,-18.45,0,-18.28,180,-83,0,-3.7786427,144
2.346,-20.21,0,-19.86,180,-88,0,-5.4183702,148
2.35,-23.9,0,-23.55,180,-91,0,-4.531406,87
2.357,-26.19,0,-25.66,180,-92,0,-5.0939436,134
2.363,-30.05,0,-29.35,180,-92,0,-3.161644,108
2.368,-33.22,0,-32.16,180,-92,0,-3.6798797,125
2.375,-36.21,0,-34.98,180,-91,0,-0.8721533,68
2.38,-39.55,0,-37.96,180,-87,0,1.3614821,84
2.387,-42.53,0,-40.42,180,-84,0,5.2591,10
2.393,-45.7,0,-43.24,180,-77,0,5.755766,39
2.4,-47.63,0,-44.82,180,-71,0,5.930773,157
2.404,-50.27,0,-46.75,180,-58,0,5.9685593,159
2.411,-52.03,0,-47.98,180,-55,0,5.9309883,163
2.419,-53.96,0,-49.21,180,-43,0,5.746662,163
2.423,-55.37,0,-49.74,180,-37,0,5.2095146,161
2.432,-56.42,0,-50.09,180,-33,0,4.167698,155
2.435,-57.48,0,-49.92,180,-23,0,2.5857372,138
2.444,-57.83,0,-49.57,180,-20,0,2.6933231,108
2.446,-58.53,0,-48.33,180,-13,0,-0.35804987,62
2.457,-58.53,0,-47.98,180,-11,0,-1.3393011,65
2.459,-58.71,0,-45.7,180,-8,0,-1.3274646,6
2.469,-58.71,0,-45.17,180,-8,0,2.5106192,31
2.471,-58.71,0,-42.01,180,6,0,4.9379025,31
2.481,-58.71,0,-41.48,180,5,0,5.2327995,55
2.483,-57.83,0,-36.91,180,4,0,4.761915,127
2.494,-57.65,0,-36.03,180,4,0,5.910733,134
2.496,-55.72,0,-30.41,180,34,0,5.9862366,119
2.505,-55.19,0,-29.17,180,40,0,5.4899206,151
2.507,-52.2,0,-22.5,180,61,0,4.4030895,151
2.516,-51.15,0,-20.56,180,70,0,5.499466,136
2.519,-46.58,0,-12.3,180,91,0,5.697587,102
2.53,-45.35,0,-10.19,180,99,0,5.453388,132
2.531,-38.67,0,0.35000000000000003,180,118,0,5.6648235,135
2.542,-37.61,0,1.9300000000000002,180,122,0,4.5929766,128
2.543,-29.17,0,14.76,180,127,0,1.6736507,133
2.554,-28.3,0,16.34,180,123,0,2.2465,106
2.557,-20.91,0,27.94,180,104,0,0.52159595,25
2.567,-19.16,0,31.11,180,102,0,3.631796,39
2.569,-13.53,0,40.78,180,86,0,-1.4928255,1
2.578,-12.48,0,42.71,180,89,0,0.8119221,80
2.581,-8.26,0,50.8,180,65,0,-3.3866136,43
2.591,-7.38,0,52.73,180,68,0,4.237566,10
2.593,-3.86,0,60.29,180,49,0,-0.42015314,91
2.604,-3.16,0,61.69,180,57,0,4.280861,100
2.606,-0.7000000000000001,0,67.85,180,44,0,-4.697241,13
2.615,-0.17,0,69.25,180,39,0,-0.9774418,103
2.618,1.58,0,74.0,180,34,0,0.23414326,127
2.628,2.1,0,75.58,180,33,0,-1.4915395,25
2.63,3.69,0,79.62,180,27,0,-3.4690723,1
2.642,3.86,0,80.33,180,27,0,-2.3533106,37
2.644,5.44,0,84.37,180,22,0,-2.904715,90
2.654,5.62,0,84.9,180,19,0,-0.61526823,57
2.656,6.67,0,87.53,180,16,0,-1.3697672,73
2.666,6.85,0,87.89,180,16,0,0.81419945,16
2.668,7.55,0,89.47,180,14,0,-1.1863027,33
2.679,7.73,0,89.82,180,12,0,-0.8692975,16
2.681,8.43,0,90.52,180,10,0,-1.9148235,29
2.691,8.43,0,90.7,180,10,0,-0.38378906,21
2.693,8.96,0,90.52,180,8,0,-0.8454242,45
2.704,9.14,0,90.35,180,8,0,-0.7248025,8
2.706,9.49,0,89.29,180,8,0,-2.3059967,20
2.716,9.66,0,88.94,180,8,0,-1.8412476,17
2.718,9.84,0,87.01,180,6,0,-2.8678665,54
2.729,10.01,0,86.66,180,6,0,-2.6587,43
2.731,10.01,0,83.49,180,6,0,-2.721139,70
2.742,10.01,0,82.79,180,5,0,-2.5766966,64
2.745,9.66,0,78.92,180,-3,0,-3.2082691,66
2.754,9.49,0,78.04,180,-3,0,-2.1430726,61
2.757,8.78,0,73.3,180,-3,0,-0.054279804,79
2.767,8.61,0,72.07,180,-12,0,0.20569992,48
2.769,7.38,0,66.26,180,-16,0,0.9193907,2
2.78,7.2,0,65.56,180,-20,0,-1.6465831,3
2.782,5.62,0,58.35,180,-25,0,0.99062204,24
2.793,5.27,0,56.95,180,-25,0,-4.1074457,33
2.794,2.98,0,48.86,180,-36,0,-3.8718476,27
2.807,2.46,0,47.46,180,-36,0,-5.7342606,98
2.809,-0.87,0,37.08,180,-57,0,-5.674502,92
2.819,-1.75,0,34.98,180,-69,0,-5.986474,145
2.82,-7.2,0,23.55,180,-93,0,-5.9906178,140
2.831,-8.08,0,21.79,180,-105,0,-5.990666,152
2.834,-16.87,0,6.67,180,-141,0,-5.992051,144
2.845,-18.8,0,3.51,180,-148,0,-5.9687037,143
2.847,-29.0,0,-12.48,180,-156,0,-5.977165,154
2.858,-30.93,0,-15.64,180,-153,0,-5.982308,142
2.859,-39.9,0,-30.58,180,-136,0,-5.8613715,144
2.87,-41.13,0,-32.69,180,-131,0,-5.9906297,145
2.872,-49.04,0,-47.46,180,-106,0,-5.4895353,145
2.883,-49.92,0,-49.21,180,-105,0,-5.9870915,149
2.885,-56.42,0,-62.75,180,-85,0,-2.2817159,136
2.895,-57.48,0,-65.21,180,-83,0,-5.6791015,152
2.898,-62.05,0,-76.46,180,-68,0,5.8025417,45
2.908,-62.92,0,-78.92,180,-73,0,4.8170834,145
2.91,-66.26,0,-88.94,180,-49,0,5.997925,159
2.921,-66.62,0,-90.17,180,-46,0,5.8005342,132
2.922,-69.08,0,-100.01,180,-34,0,5.856064,163
