time,motor_angle,motor_target,pendulum_angle,pendulum_target,rpm,rpm_target,voltage,current
2.285,-14.41,0,4552.55,180,-25,0,0,12
2.294,3.51,0,5399.64,180,0,0,0,0
2.295,-1.75,0,-1.05,180,-31,0,0,422
2.301,-1.9300000000000002,0,-1.23,180,-31,0,4.9524355,7
2.302,-3.33,0,-2.63,180,-39,0,5.9973755,2
2.306,-3.51,0,-2.81,180,-39,0,5.9818926,128
2.31,-4.39,0,-3.69,180,-34,0,4.0944977,161
2.314,-4.92,0,-4.21,180,-29,0,4.18742,160
2.317,-5.27,0,-4.57,180,-23,0,3.3463192,106
2.32,-5.44,0,-4.74,180,-21,0,0.5393896,108
2.325,-5.8,0,-4.92,180,-14,0,0.4533434,83
2.327,-5.97,0,-5.09,180,-14,0,0.8241997,13
2.331,-6.15,0,-5.27,180,-14,0,1.049325,10
2.333,-6.32,0,-5.44,180,-10,0,2.1725225,19
2.337,-6.32,0,-5.44,180,-8,0,3.0527573,24
2.34,-6.5,0,-5.44,180,-8,0,2.7424984,50
2.346,-6.5,0,-5.44,180,-8,0,3.2996597,74
2.347,-6.5,0,-5.09,180,-8,0,4.202223,65
2.353,-6.32,0,-5.09,180,8,0,4.409337,80
2.354,-5.97,0,-4.57,180,6,0,4.3003025,105
2.359,-5.97,0,-4.39,180,6,0,3.746626,110
2.36,-5.27,0,-3.33,180,18,0,5.316988,107
2.366,-5.09,0,-3.16,180,18,0,5.8240013,91
2.368,-4.04,0,-1.9300000000000002,180,27,0,5.6626434,136
2.374,-3.69,0,-1.58,180,30,0,5.888294,148
2.375,-2.2800000000000002,0,0.0,180,41,0,5.938383,143
2.38,-1.9300000000000002,0,0.35000000000000003,180,41,0,5.89367,149
2.382,-0.17,0,2.46,180,53,0,5.8657875,150
2.387,0.0,0,2.81,180,53,0,5.752594,148
2.388,1.9300000000000002,0,5.27,180,62,0,5.7872143,146
2.393,2.46,0,5.8,180,65,0,5.5956697,143
2.394,4.92,0,8.43,180,72,0,5.1925077,143
2.399,5.44,0,9.14,180,73,0,4.480323,137
2.401,7.38,0,11.07,180,80,0,3.1196194,126
2.407,8.78,0,12.65,180,82,0,1.4084368,105
2.407,10.89,0,15.11,180,82,0,-1.1323514,66
2.413,11.6,0,15.64,180,81,0,-3.7713025,24
2.414,14.23,0,18.45,180,77,0,-4.58906,36
2.419,14.58,0,18.98,180,77,0,-4.483637,102
2.42,16.87,0,21.44,180,65,0,-4.9087543,129
2.427,17.4,0,21.97,180,69,0,-4.4101114,125
2.428,19.33,0,24.08,180,56,0,-5.028954,137
2.434,19.68,0,24.43,180,56,0,-3.9420395,123
2.435,21.26,0,26.01,180,42,0,-4.5253386,140
2.441,21.62,0,26.36,180,42,0,-4.3159575,108
2.441,22.67,0,27.42,180,35,0,-3.7657506,123
2.447,23.02,0,27.59,180,35,0,-3.7880569,116
2.449,23.9,0,28.47,180,29,0,-2.4998524,99
2.454,24.08,0,28.65,180,23,0,-1.4387183,100
2.456,24.6,0,29.0,180,19,0,-1.7338753,62
2.462,24.78,0,29.0,180,18,0,-3.4523456,36
2.463,25.31,0,29.17,180,16,0,-4.477288,42
2.468,25.31,0,29.17,180,14,0,-4.446596,86
2.47,25.48,0,28.82,180,9,0,-3.1101286,118
2.474,25.48,0,28.65,180,9,0,-2.1204622,117
2.477,25.48,0,28.3,180,9,0,-1.4267607,77
2.481,25.31,0,27.77,180,-9,0,-1.0269852,48
2.484,25.13,0,27.24,180,-8,0,5.2625637,32
2.487,24.96,0,26.54,180,-7,0,5.0870724,22
2.49,24.78,0,26.01,180,-7,0,5.474949,139
2.494,24.6,0,25.48,180,-7,0,5.6890564,133
2.497,24.6,0,24.6,180,-7,0,5.7635326,143
2.503,24.43,0,24.25,180,-7,0,5.726263,149
2.504,24.6,0,23.37,180,5,0,5.7373238,151
2.51,24.6,0,23.02,180,5,0,3.2050552,150
2.511,24.78,0,22.14,180,4,0,-0.5905485,149
2.516,24.96,0,21.97,180,4,0,-0.75767136,79
2.518,25.13,0,21.09,180,4,0,0.029768944,13
2.524,25.31,0,20.74,180,4,0,1.0648775,18
2.525,25.48,0,19.68,180,7,0,0.8410816,1
2.53,25.48,0,19.33,180,7,0,-1.9694457,23
2.532,25.66,0,18.1,180,7,0,-2.7579274,18
2.539,25.66,0,17.75,180,7,0,-2.6563244,44
2.54,25.66,0,16.17,180,7,0,-2.7307382,66
2.545,25.66,0,15.64,180,6,0,-3.5172954,64
2.547,25.48,0,14.06,180,-5,0,-3.4741678,66
2.552,25.31,0,13.35,180,-4,0,-1.5904388,88
2.554,24.96,0,11.42,180,-4,0,-0.018094063,86
2.559,24.6,0,10.72,180,-4,0,-0.015627861,35
2.561,24.08,0,8.78,180,-18,0,0.42717648,2
2.566,23.9,0,7.73,180,-18,0,2.5390291,1
2.568,23.2,0,5.8,180,-21,0,-0.47100735,11
2.571,23.02,0,4.92,180,-21,0,-0.21015263,61
2.574,22.32,0,2.81,180,-21,0,1.0899181,6
2.579,22.14,0,2.2800000000000002,180,-24,0,1.1278152,1
2.581,21.44,0,0.0,180,-21,0,1.6377769,27
2.586,21.26,0,-0.7000000000000001,180,-21,0,1.4582977,27
2.588,20.56,0,-2.98,180,-20,0,1.2085695,39
2.593,20.39,0,-3.51,180,-20,0,0.39790106,35
